,CD141+,CD1C+,IL7R+CCR7-,IL7R+CCR7+
RP11-727A23.4,5.11687763404495,4.46210244668161,3.15113403037968,2.07623814472186
RP11-727A23.5,15.5082861982943,21.3750962306175,8.76908622197084,13.7866991583316
H19_3,117.16148437395,43.2178982164466,36.4749034508234,74.6865594719802
SNORD56,23.0759121314471,16.9958026693891,16.2360083052896,16.5641478432907
AP000648.5,9.70381411628596,9.5571693555136,6.03982716253159,3.56265161206787
TUBAP2,0.382787704799395,0.417255911784135,1.52690496681448,1.48260932726292
SCARNA9,9.91163517781322,5.08429677588525,13.2196686466353,1.93561217715507
snoU2_19,8.03953864376854,5.25807645084226,6.48130976703093,2.13522218292419
RP11-178H8.7,2.77506917652924,4.66198318145744,1.1515017352593,1.73419060542066
RP11-680H20.1,3.74885590674817,2.24753237485911,3.77781261466283,1.24457394997402
RP11-712B9.2,1.1605950523335,0.421700366984843,0.194926609534765,0.770606502107977
RP11-690D19.3,0.603790893645046,1.38213470563896,0.557750107078742,0.267268178578423
RP11-144G7.2,10.568157022182,8.49437523455568,7.93355344927022,3.54393723306919
RP11-356J5.12,2.91204970883095,0.98357534778609,1.34327663565408,1.2935582774192
AP000892.6,13.9694154008433,15.6274586617597,11.6824209094061,8.69162916368689
BACE1-AS,2.71865416368533,5.37812385839574,4.94659649538564,3.67709495298099
RP11-728F11.4,6.81823168039823,5.82315206213496,11.7761502597693,20.7688277901915
RP11-770J1.5,52.4627730921627,45.1967712740457,43.2448142284569,30.8827124912291
RP11-770J1.3,9.56811885649265,5.10841583079931,7.25611529895303,7.61711139259482
RP11-110I1.6,10.4911760652716,10.4268102733344,11.0775009511473,12.804930632229
SNORD14E,204.601529343531,209.828180250082,111.326026586649,78.3752142438054
SNORD14D,176.241472429832,145.695053227936,111.746720121223,82.4637532715548
SNORD14C,45.6061101246506,34.416500405513,26.5144490469447,40.7633325830981
RP11-712L6.5,12.7610101461661,6.77670478455134,5.97640646244505,2.1725631114014
RP11-676M6.1,46.7376737112668,58.3537828578649,59.746844752684,73.8982556030904
RP11-700F16.3,4.92963327617903,5.0376780367351,9.70255953148342,4.60287416678268
RP11-598F7.3,57.7749234413619,1.14852181861401,16.5903833627071,9.9109289036754
RP11-218M22.1,1.89487143105253,1.14396677457418,1.13836035568249,0.677464262004274
HTR1DP1,1.73827862567968,1.89480232462784,1.16780356162719,0.769449435287995
RP11-885B4.1,24.5046393222686,25.6894266503089,24.710784147561,12.1139475830182
RP4-816N1.6,32.4539588878541,38.6191090353583,23.8471318629259,12.5700333501976
RP4-816N1.7,321.626365478372,302.904287992771,601.610077329979,259.500173311483
RP11-543P15.1,69.8147230304355,53.2268549481339,99.634252104946,110.529148292546
OTUD4P1,0.53684301083919,0.47546132019354,0.422648175222101,1.5594710432834
CD27-AS1,11.1021526905914,13.4172669094491,8.32252617402388,7.26138297329832
RP1-102E24.10,3.95131915980878,6.74157381343382,5.1937039869363,1.42585788509128
RP5-940J5.9,842.025461594169,986.690921227247,1226.53411847178,1084.81430336243
RP5-940J5.6,22.2119712474829,23.496929373527,20.1286578375004,24.8914789994805
RP4-761J14.8,16.0428842832216,12.1570643520933,11.2929865886575,6.97796661697608
U47924.6,7.56068334148687,4.59258425468967,3.85316228438182,3.06571440733927
DSTNP2,8.66087493352223,5.48172314151157,4.69235096255633,4.17382797748076
U47924.31,26.2659129437251,19.6327084253873,28.0049300781464,31.9212796717928
RNU7-1,83.3049337563826,65.8789684422988,84.359904904212,138.281055656043
C1RL-AS1,15.9577058475589,12.1302172842535,10.2952212905906,11.6606816947353
ABC12-49244600F4.4,10.4139323470813,5.37710081790527,4.14251489770286,11.145234297021
RP11-273B20.1,5.23695138118256,6.37450715895154,4.83761882526481,5.50557712984692
RP11-157G21.2,10.5370402439219,15.1909635089569,3.2112187119889,2.25688224124109
LINC00937,0.236231543408632,0.911164698998153,1.14450110666271,1.11606174491534
PTMAP4,23.1984837628281,18.155053949729,11.9885498580919,4.44323691244339
LINC00987,9.28319543073338,3.67554858699653,2.20238681403963,2.34943541163179
RP11-22B23.1,33.1072172750098,20.4950651442583,14.7358467787467,5.67950168985534
SNORA75,7.16124395494502,10.1585970197397,9.3914116738675,4.23380566299553
CTD-2318O12.1,5.97794740648681,1.86178087332727,1.61360409137699,5.6702995729107
DDX12P,10.4407608745948,8.48809717299183,11.216382698289,11.5346919416875
RP11-726G1.1,0.321455977009722,0.087600388612236,0.303692765343113,0.666996386700253
RP11-705C15.2,3.31539810695791,4.63144926042284,4.21680460288531,4.91561941392618
RP11-705C15.5,12.5495237366143,17.509822067195,10.1171664656092,13.6098714748989
RP11-75L1.2,97.1755419766222,165.999051806685,124.711458076519,100.183410478433
RP11-290C10.1,31.630385139767,33.6984927475398,17.4878177302364,6.1769988045651
RP11-656E20.5,5.94290516159425,8.86468005491542,5.51600831236675,6.23043554895811
RP11-785H5.2,1.60373134504266,8.74069851568584,6.0604454964445,5.76787290971728
RP11-267J23.4,13.8466916335487,9.94800192942226,12.6851322657486,18.2832480495037
RP11-180M15.7,25.4922201658876,25.9487828733733,8.73619167140781,15.2460308871818
RP11-180M15.4,13.0347719877634,8.22596849198434,6.91339708483299,17.0817774633935
RPL13AP20,3.0415594474947,0.368381929779863,2.97991253656594,2.52440061035372
HTR7P1,1.84302459228718,2.61930325428491,0.293870313626431,0.929409791705835
PLBD1-AS1,25.8991848926772,56.2743573620344,11.7446552825393,17.1964202651612
RP11-174G6.5,0.720418496007556,0.909281705083014,0.477620469199037,0.44057642683771
EEF1A1P16,0.291106349760219,0.158659544014099,0.733387243794164,10.0267859226426
EEF1A1P4,1.75782652766242,2.2354621589346,2.86007975484639,3.76893310580212
RP11-625L16.3,3.19442422386546,13.4308294265416,14.0835555913311,10.2263412752023
