"","CD141+","CD1C+","IL7R-CCR7+","IL7R+CCR7+","IL7R+CCR7-"
"YWHAE",119.750464632116,120.157623133703,127.930964420907,171.184727062072,155.820027159464
"CRK",5.26594097818475,5.79795322246073,7.91645895198864,9.13583940994455,10.8017539848599
"MYO1C",3.97692642413991,2.22325657923164,4.00019514319214,8.15882459179076,4.67830929603116
"INPP5K",7.2803488227974,3.84889211302963,5.38552826571504,10.1200890926034,8.97021064236066
"PITPNA",61.6066893614864,54.5254840047049,67.8738014028032,66.7019398859091,65.70899112944
"SLC43A2",10.3245515687988,7.20269290604971,11.6661725544799,8.40054282886005,10.0398959878038
"SCARF1",28.6075585866295,13.0084552754749,15.3374410838619,10.1763867399034,18.1150467043664
"RILP",21.0218546294829,20.3775153046861,20.7849396592512,12.87174947837,21.8156789302477
"PRPF8",25.5363660899599,23.7777719794325,37.1097023218471,47.8390616384786,48.9167125118807
"TLCD2",0.0759379054933076,0,0.154931297048274,0.361564287706695,0.252955803752766
"WDR81",17.8493567923314,17.3385922177702,15.9287454883738,20.189387941407,27.7962681094725
"SERPINF2",3.76566953030687,3.82338257493555,3.84142847235248,2.47547872711255,4.98534627666532
"SERPINF1",25.4119062223828,16.7782505205948,24.415991120461,29.7344599559421,29.8979294821185
"SMYD4",3.47913710379638,3.44914601680188,4.16340425373985,4.26384107978367,4.76387499667123
"RPA1",10.8567768083796,6.04498910266026,6.99042846850376,11.1882056964223,11.3444943642699
"RTN4RL1",0.125082823089804,0.0934527238615346,0,0.183248837084068,0
"DPH1",174.888089531362,106.36091178157,67.7310139874267,66.0728915824793,101.43443697487
"OVCA2",740.150013834705,435.232948077725,274.147961300819,270.639607276023,437.167655161739
"HIC1",46.6399414043229,28.3071101392067,19.9098468402602,19.3453890916038,30.2480333677523
"SMG6",28.5700000389292,22.1639197101253,19.787771971095,27.0566695258184,32.3074282523122
"SRR",6.02752240339482,7.02131046022286,7.0744097262901,8.07083303695375,9.49936543526895
"TSR1",21.7922136665814,22.6353199172736,28.6954555895657,31.3569907596007,30.4735617282675
"SGSM2",26.2885472204847,30.8741411749335,33.7288929974471,40.4083166860281,45.9101969040739
"MNT",18.1307752705647,19.2127900296793,20.535874495111,14.9553663228053,21.4584657334742
"METTL16",3.60344656287646,2.99558135167304,4.06424556816693,6.208544031216,8.41083002399107
"PAFAH1B1",15.4545083960932,13.5473102374025,20.6031935789614,24.5313332051467,23.0685725125863
"CLUH",6.57138019855855,5.13058839968081,6.43544191078431,5.81242405126028,7.90770545500079
"RAP1GAP2",7.94849015251942,8.99777221774404,7.89340494991825,7.33307151221416,9.12658157257015
"OR1G1",0,0,0,0,0
"OR1E1",0,0,0,0,0
"SPATA22",0,0,0,0,0.594125521760047
"ASPA",0,0,0,0,0
"TRPV3",0,0.034638662985487,0,0.220746458271644,0.386093840543907
"TRPV1",2.16452756206101,0.873275286227583,2.03142828122309,2.66370397613608,2.37937609503801
"SHPK",6.8521791439894,3.57478583166273,5.36304292249197,6.87988851448213,5.5095329491685
"CTNS",6.07146796155814,6.03159226070712,6.26167740362879,7.15984296232768,9.16774029555183
"TAX1BP3",15.9010295260131,7.59345614167748,14.2142183382856,11.2273866086734,17.3373722193046
"P2RX5-TAX1BP3",8.06259941381146,8.74882877387038,30.1184539257097,10.3353856965678,11.5422116134421
"EMC6",11.7925938543703,16.2995404264348,19.5484916625133,13.8211086487333,15.95837805161
"P2RX5",4.16631777982596,7.43830152931308,37.7544645511854,9.59158963794741,8.29097360304978
"ITGAE",18.5606693981369,4.73264977194229,7.57363154871576,20.2690810603188,26.8863292547123
"NCBP3",24.784658276402,18.9776239459439,21.7477097457287,28.1182628380032,28.6188714625588
"CAMKK1",12.9785644075114,7.20973162603636,10.4982805450417,5.9390339655542,9.15516698401796
"P2RX1",5.02536782942664,4.65056769720263,9.32085415289918,3.93211846576802,7.98951667213175
