,CD141+,CD1C+,IL7R-CCR7+,IL7R+CCR7-,IL7R+CCR7+
ZNF511-PRAP1,6.53682154897605,7.47097817268703,24.3847587295551,2.7976763259172,0.66717527459654
CALY,0,0,0,0,0
PRAP1,0,0,0,0,0
FUOM,29.4895983294777,28.8050466838994,22.27462038328,15.3545366578961,14.6466796264231
ECHS1,82.3665335400932,92.8924855613601,60.0595954031591,59.3065857141558,72.5822333057364
PAOX,4.25397643579928,4.41990803535227,2.48452526361739,4.48955173249954,1.98834054168297
MTG1,0.107518085739982,0.184324736199581,0.076750292026276,0.297189060262267,0.340186074079994
SPRN,0,0,0.401908498526342,0,0
CYP2E1,5.880555358281,0.941452815387943,0.392008039722606,13.7624389515653,1.52033579879997
SYCE1,0,0,0,0.239211636712331,0
BET1L,9.04932306304691,12.0337652556358,12.5944490967885,7.73990030083764,6.75282109629124
SCGB1C1,0,0,0,0,0
ODF3,0,0,0,0,0
RIC8A,25.1921629951756,26.9480834221837,27.2214399619686,25.9964185509835,31.1537419621477
SIRT3,7.78669043092671,5.94909680588785,12.687699659361,8.23491347605617,10.1761543613202
PSMD13,68.3935805534759,71.7283064854183,78.5895941787998,61.0154015573698,67.2129754294613
NLRP6,15.1704599320634,39.3841094437289,5.09610451639388,21.7820954729737,14.2259992601997
IFITM5,2.69196946327923,3.41852262109277,4.69730557652662,6.94477533621023,2.83912086961462
IFITM2,36.5240958013408,54.4624047185683,21.9984343172656,26.8163531175084,12.6395772047998
IFITM1,0,0,0,0,0
IFITM3,24.3333448088571,28.743993172488,6.52832973570681,14.9866622770387,6.45892977261487
B4GALNT4,0.117066354986766,0.13379593986303,0.167132382795852,0.129432512818291,0.092599173980163
PKP3,0,0.265754702838582,0,0.128543881887931,0
SIGIRR,7.99719583243187,13.9619660735157,3.32632165227723,16.4307466601064,5.67824173922924
ANO9,4.75256961399229,1.90516408101887,2.78493386847398,6.78392562935071,32.3184991402434
PTDSS2,4.39350240919659,3.6631262190751,9.87144603349241,4.89742096575168,4.0449615617695
RNH1,64.8428539951553,80.2168803646755,43.0052994114765,42.6787913722202,72.1184443082797
HRAS,37.1655052928629,43.5623775819252,53.9077657926303,38.859633627303,57.6685579585727
LRRC56,2.06707305683205,2.54420058416323,1.92956720094229,1.93382177241081,1.76082228485067
