Geneid,mDC1,mDC2,IL7R+CCR7-DC,IL7R+CCR7+DC,IL7R-CCR7+DC
ZNF664,884,734,784,553,774
FAM101A,58,43,35,20,28
RP11-214K3.25,63,44,30,21,22
NCOR2,14127,13828,5856,10208,7599
SCARB1,1952,889,410,396,702
UBC,296692,302794,230572,191267,199855
DHX37,978,621,601,344,591
BRI3BP,809,599,375,354,321
AACS,449,306,358,168,281
TMEM132B,2,0,2,0,19
RP4-809F18.1,2,0,0,0,7
SLC15A4,228,216,234,608,287
GLT1D1,0,4,12,4,46
TMEM132D,0,0,4,0,22
PIWIL1,0,0,0,0,1
STX2,340,255,324,589,337
RAN,1894,1544,1570,1512,1219
ADGRD1,21,54,771,662,191
SFSWAP,4308,4059,3261,2491,3084
MMP17,4,24,18,6,27
ULK1,302,273,305,269,393
PUS1,568,445,410,196,338
EP400,2251,1422,1417,1323,1256
EP400NL,507,399,430,272,485
DDX51,702,551,557,284,600
NOC4L,371,412,203,197,232
GALNT9,0,0,4,0,0
FBRSL1,2468,2067,1675,2709,1882
LRCOL1,0,1,3,1,6
P2RX2,0,0,0,8,6
POLE,667,365,488,350,698
PXMP2,15,12,25,14,12
RP13-672B3.2,52,36,62,21,32
PGAM5,208,136,159,66,112
ANKLE2,2856,2392,2511,3371,2348
GOLGA3,4728,3088,3052,2378,1978
AC127070.1,3034,1953,1851,1524,1155
CHFR,1206,1160,917,1285,781
ZNF605,529,317,404,312,400
ZNF26,393,302,342,230,287
ZNF84,339,200,429,340,342
ZNF140,154,86,142,123,128
ZNF891,273,132,169,125,128
ZNF10,133,65,131,64,80
CTD-2140B24.4,120,45,76,44,39
ZNF268,168,98,134,76,98
TPTE2,0,0,2,1,4
MPHOSPH8,5761,4473,5314,4687,3773
PSPC1,3574,3248,3162,2289,2446
ZMYM5,501,440,405,287,313
ZMYM2,1427,900,1301,1070,1069
GJA3,0,0,0,0,2
GJB2,2,0,10,34,8
GJB6,0,0,1,0,6
CRYL1,164,261,97,41,105
IFT88,200,171,259,110,181
IL17D,4,0,6,0,2
EEF1AKMT1,54,22,14,13,20
XPO4,411,238,333,223,285
LATS2,441,588,469,284,321
SAP18,2990,2545,2198,1701,2015
SKA3,24,14,80,28,54
MRPL57,167,132,93,48,116
ZDHHC20,513,352,410,329,280
MICU2,499,388,455,336,300
FGF9,2,0,2,96,42
AL354828.1,0,0,0,1,1
AL354828.2,0,0,0,3,0
SGCG,0,0,2,0,4
SACS,444,316,379,234,324
TNFRSF19,1,0,25,2,4
MIPEP,50,44,51,20,62
C1QTNF9B,0,0,0,4,8
RP11-307N16.6,370,142,286,198,721
SPATA13,702,285,558,368,1353
C1QTNF9,0,0,2,0,5
C1QTNF9B-AS1,4,0,3,4,8
PARP4,4894,3659,2525,2779,1936
ATP12A,0,0,6,0,0
RNF17,0,0,0,1,2
CENPJ,954,521,979,1021,635
PABPC3,36,37,27,37,32
AMER2,0,0,2,0,10
MTMR6,261,177,163,157,178
NUP58,477,374,346,336,298
ATP8A2,0,2,6,16,7
SHISA2,0,2,4,6,8
RNF6,1749,1140,1236,1163,884
CDK8,449,513,362,343,286
WASF3,139,34,36,15,50
GPR12,0,0,0,0,2
USP12,937,729,1257,3183,1109
RPL21,13931,13203,10986,7531,7120
RASL11A,12,19,17,30,36
GTF3A,1857,1759,1596,610,1187
MTIF3,983,821,731,530,666
LNX2,103,74,114,67,59
POLR1D,2199,1968,1489,877,1090
CDX2,0,1,0,0,6
URAD,32,32,23,16,30
FLT3,5602,3025,2043,2715,2379
PAN3,1189,952,1021,1205,1054
FLT1,220,565,251,204,630
POMP,1064,929,739,622,526
SLC46A3,246,107,88,42,58
MTUS2,16,7,9,6,5
SLC7A1,207,152,175,326,161
UBL3,528,370,275,188,299
KATNAL1,580,278,433,346,588
UBE2L5P,0,0,0,0,2
HMGB1,21507,18564,17061,7993,13995
USPL1,462,320,395,185,258
ALOX5AP,337,444,496,107,430
MEDAG,0,0,0,0,0
HSPH1,21238,11225,14568,5713,8062
B3GLCT,32,24,31,8,23
RXFP2,0,0,0,0,1
FRY,284,84,236,170,135
ZAR1L,0,0,2,0,0
BRCA2,287,79,205,245,137
N4BP2L1,1389,1126,1050,2479,1111
N4BP2L2,2690,2075,2649,3053,2285
PDS5B,1915,1436,1840,1579,1584
KL,0,0,0,0,26
STARD13,11,26,13,43,118
RFC3,44,36,76,45,42
NBEA,168,77,229,77,296
MAB21L1,0,0,2,0,0
DCLK1,2,0,0,8,27
SOHLH2,0,0,0,0,0
CCDC169-SOHLH2,0,2,4,0,6
CCDC169,0,2,4,0,6
SPG20,2053,1595,1933,2184,1631
CCNA1,10,8,16,160,33
SERTM1,0,0,0,0,0
RFXAP,173,131,169,100,84
