Geneid,mDC1,mDC2,IL7R+CCR7-DC,IL7R+CCR7+DC,IL7R-CCR7+DC
PDE8B,71,40,67,83,35
WDR41,657,441,362,270,293
TBCA,2687,2756,2065,2091,1763
AP3B1,1852,1593,1231,1064,1028
SCAMP1,125,112,130,40,81
LHFPL2,32,21,74,8,69
ARSB,176,190,98,85,68
DMGDH,1,1,9,4,8
BHMT2,4,0,3,0,0
JMY,799,642,2000,1774,1018
HOMER1,114,102,96,82,59
PAPD4,905,551,670,374,458
CMYA5,40,0,20,57,14
MTX3,160,92,169,78,121
THBS4,0,6,0,6,0
SERINC5,225,299,160,205,166
ZFYVE16,447,336,289,240,260
FAM151B,1,2,0,1,10
DHFR,430,261,466,246,428
MSH3,684,501,543,288,377
RASGRF2,1,1,42,14,17
CKMT2,1,1,18,6,15
ZCCHC9,1114,1089,1031,763,700
SSBP2,84,150,255,95,170
ATG10,18140,16432,12565,6803,7856
RPS23,28709,25779,19922,10860,12467
ATP6AP1L,83,45,48,38,51
TMEM167A,1065,752,905,586,789
XRCC4,125,56,85,78,89
VCAN,18,335,95,187,381
HAPLN1,0,0,0,0,0
EDIL3,0,2,0,19,16
COX7C,7205,6548,5042,3084,3737
RASA1,989,684,1154,462,630
CCNH,2610,2282,1865,390,1133
TMEM161B,158,120,108,73,91
MEF2C,3696,4419,2013,598,2522
CETN3,300,260,267,153,179
MBLAC2,66,32,56,6,30
POLR3G,35,24,38,35,65
LYSMD3,301,191,235,158,138
ADGRV1,58,29,42,41,29
ARRDC3,1529,2426,1790,1417,2069
NR2F1,2,15,2,8,28
FAM172A,356,255,317,161,199
POU5F2,0,0,0,0,0
KIAA0825,44,37,22,3,32
SLF1,248,219,128,70,127
MCTP1,2045,1849,868,855,889
FAM81B,0,0,0,2,0
TTC37,1496,607,937,641,891
ARSK,19,9,41,2,38
GPR150,0,0,30,0,0
RFESD,0,8,22,0,6
SPATA9,0,3,13,2,3
RHOBTB3,10,38,149,57,143
GLRX,513,627,463,313,435
ELL2,65,104,1257,326,295
PCSK1,0,2,0,0,2
CAST,2150,3402,2032,2901,2031
ERAP1,1012,1009,951,876,707
ERAP2,3278,1907,1954,1576,1298
LNPEP,1087,640,803,980,603
LIX1,0,0,0,0,4
RIOK2,339,260,295,142,250
RGMB,10,10,8,14,30
AC008522.1,10,6,6,5,16
CHD1,6594,4500,5127,3930,3520
FAM174A,95,82,171,66,88
ST8SIA4,2729,1728,1681,4242,1847
SLCO4C1,8,9,32,104,82
SLCO6A1,0,0,0,0,0
PAM,274,110,275,113,540
GIN1,71,109,68,36,44
PPIP5K2,979,479,723,364,505
C5orf30,24,9,43,15,6
NUDT12,30,36,40,12,44
EFNA5,2,8,0,25,15
FBXL17,170,126,153,75,127
FER,87,110,239,398,260
PJA2,3070,1975,2131,1951,1520
MAN2A1,436,302,394,419,285
TMEM232,4,4,10,0,10
SLC25A46,447,327,411,277,272
TSLP,0,0,0,0,4
WDR36,141,53,140,115,100
CAMK4,0,2,92,51,32
STARD4,209,225,320,447,219
NREP,121,102,144,58,177
EPB41L4A,64,86,145,265,272
APC,1101,537,781,1606,585
CTC-554D6.1,1505,1065,882,635,648
CTC-487M23.8,1631,1180,994,770,748
SRP19,1583,1121,922,619,679
REEP5,1133,901,910,365,592
ZRSR1,215,168,182,227,143
DCP2,1065,796,834,952,641
MCC,100,64,154,119,106
YTHDC2,1202,596,711,578,487
KCNN2,0,0,2,10,6
TRIM36,33,18,21,15,20
PGGT1B,668,426,417,279,389
CCDC112,1973,1687,1300,750,939
FEM1C,362,321,264,206,237
TMED7-TICAM2,262,272,206,255,199
TICAM2,233,219,144,318,139
TMED7,305,306,327,180,266
CDO1,0,0,2,0,2
ATG12,558,494,587,424,440
AP3S1,526,523,578,320,341
LVRN,0,0,8,8,2
CTD-2287O16.3,0,0,0,0,0
ARL14EPL,1,0,1,0,0
COMMD10,158,146,103,54,102
SEMA6A,66,36,47,138,557
DTWD2,12,4,16,55,22
DMXL1,1002,512,624,620,536
TNFAIP8,1668,1335,1921,3687,1490
HSD17B4,2589,2441,2677,4618,2473
FAM170A,0,0,2,0,2
PRR16,2,0,0,0,2
SRFBP1,429,283,245,126,193
LOX,6,9,19,22,39
ZNF474,0,0,2,0,0
CTC-441N14.4,0,0,1,1,1
SNCAIP,0,0,0,2,26
SNX2,2491,2389,1736,2031,1802
SNX24,17,13,26,28,68
PPIC,4,8,8,25,99
PRDM6,0,2,1,13,10
CEP120,1032,527,831,846,668
CSNK1G3,460,310,567,343,379
ZNF608,222,70,366,638,444
GRAMD3,1359,1844,925,853,762
ALDH7A1,277,270,245,45,230
PHAX,539,512,552,336,383
LMNB1,3977,3224,2641,4529,2057
MARCH3,29,12,26,17,15
C5orf63,54,20,89,32,42
MEGF10,2,0,8,4,0
PRRC1,104,98,106,90,60
CCDC192,2,2,2,0,4
SLC12A2,353,168,256,201,244
FBN2,0,12,10,5,4
ISOC1,62,50,61,36,40
ADAMTS19,0,0,0,4,4
CHSY3,0,2,0,2,12
HINT1,482,394,360,390,349
LYRM7,406,295,290,138,190
CDC42SE2,2665,2236,2256,2532,1659
RAPGEF6,830,437,1146,544,580
CTC-432M15.3,775,404,1027,467,531
FNIP1,262,237,243,231,227
MEIKIN,2,4,2,0,4
CTB-127M13.1,2,3,4,1,4
ACSL6,0,0,4,6,8
CSF2,0,0,10,1,0
P4HA2,55,57,74,62,72
PDLIM4,0,2,4,8,13
SLC22A4,4,6,2,0,6
SLC22A5,213,144,90,66,94
C5orf56,463,274,416,900,478
IRF1,3795,3252,4385,6917,3759
IL5,4,0,0,2,1
RAD50,5048,2611,2918,2159,2145
IL13,0,0,2,6,2
KIF3A,206,134,279,265,149
CCNI2,5,1,25,9,6
SEPT8,80,108,153,149,193
SOWAHA,0,0,0,1,2
SHROOM1,0,4,20,0,7
GDF9,456,468,460,191,235
UQCRQ,921,972,922,386,477
LEAP2,0,4,4,0,6
AFF4,3133,2233,2277,3054,1808
ZCCHC10,326,277,259,142,214
HSPA4,4291,4526,3568,3192,2663
FSTL4,2,0,6,0,0
C5orf15,553,479,393,400,331
VDAC1,1822,1986,1403,1515,1055
TCF7,12,72,5589,653,248
SKP1,2308,1970,2420,1561,1595
CTD-2410N18.5,2609,2494,2166,1617,1604
PPP2CA,3201,3240,2591,2017,2034
CDKL3,21,25,29,9,23
UBE2B,473,581,436,443,391
CDKN2AIPNL,88,112,80,88,44
JADE2,1197,1184,1253,1458,928
SAR1B,273,259,234,120,151
SEC24A,224,146,241,197,110
CAMLG,400,415,307,312,283
DDX46,10473,8399,8103,8872,7022
C5orf24,238,160,172,128,146
TXNDC15,383,355,679,235,354
PCBD2,108,67,63,89,73
CATSPER3,13,4,7,6,2
PITX1,0,2,0,2,0
H2AFY,13208,10751,8065,3837,5812
DCANP1,574,334,432,1043,385
TIFAB,967,608,810,1825,694
CXCL14,14,11,5,7,10
LECT2,0,0,0,0,0
TGFBI,2305,2242,785,251,1050
SMAD5,181,107,164,73,131
TRPC7,0,0,0,0,0
SPOCK1,12,10,20,16,18
KLHL3,38,24,67,31,83
HNRNPA0,1235,1234,1221,624,811
MYOT,11,5,11,7,9
PKD2L2,100,61,65,54,82
FAM13B,1466,942,1158,1033,883
NME5,0,0,0,0,0
BRD8,1644,1373,1754,1553,1613
KIF20A,34,29,153,29,34
CDC23,456,345,368,271,276
CDC25C,123,53,73,59,51
FAM53C,1164,725,613,495,608
KDM3B,2523,1968,1567,1693,1483
REEP2,0,0,6,2,6
EGR1,6106,2952,8067,1697,2567
ETF1,2128,1854,1328,966,1310
HSPA9,7039,6734,5087,2977,4305
CTNNA1,3099,3892,2269,3495,2941
LRRTM2,4,4,2,2,32
SIL1,1260,1158,1261,1778,1044
MATR3,9201,7225,8614,6470,6800
PAIP2,8105,8583,6760,4993,5162
SLC23A1,4,3,5,0,12
MZB1,20,21,2042,78,313
PROB1,22,8,24,18,23
SPATA24,48,50,44,20,38
DNAJC18,139,140,136,128,132
ECSCR,4,18,23,39,247
AC138517.6,2,2,0,0,4
TMEM173,105,136,173,22,229
UBE2D2,675,504,428,327,273
CXXC5,172,78,563,250,362
PSD2,0,0,14,0,4
NRG2,17,20,10,161,102
PURA,408,313,369,190,296
IGIP,20,2,25,2,2
CYSTM1,359,506,287,258,295
PFDN1,549,785,478,361,420
AC011380.1,2,0,0,0,0
HBEGF,331,1857,359,96,530
SLC4A9,0,0,0,0,4
ANKHD1,7472,5490,4704,4734,4008
ANKHD1-EIF4EBP3,7493,5512,4694,4712,4022
SRA1,762,909,547,317,497
EIF4EBP3,96,83,34,13,65
APBB3,360,242,209,132,206
SLC35A4,425,507,348,153,292
CD14,8,12,10,6,7
NDUFA2,223,194,124,67,104
TMCO6,182,116,125,70,86
IK,16002,16442,12348,7640,9729
WDR55,1535,821,872,363,648
DND1,328,147,158,57,104
HARS,1465,1322,1210,852,973
HARS2,779,864,586,606,563
ZMAT2,5138,5037,3759,3072,3427
PCDHA1,0,0,0,0,2
PCDHA2,0,0,0,0,2
PCDHA3,0,0,0,1,2
PCDHA4,0,2,0,0,2
PCDHA5,0,0,0,4,6
PCDHA6,0,0,0,0,2
PCDHA7,0,0,0,0,2
PCDHA8,0,0,0,0,2
PCDHA9,0,0,0,0,2
PCDHA10,0,0,0,0,6
PCDHA11,0,0,0,0,2
PCDHA12,0,0,0,0,2
PCDHA13,0,0,0,0,2
PCDHAC1,0,0,0,0,2
PCDHAC2,0,0,0,0,2
PCDHB2,0,0,0,0,2
PCDHB3,0,0,0,0,2
PCDHB4,0,0,0,0,2
PCDHB5,0,0,0,0,2
PCDHB6,0,0,0,0,2
PCDHB7,0,0,0,0,2
PCDHB8,0,0,0,0,2
PCDHB16,0,0,1,0,8
PCDHB10,0,0,0,4,22
PCDHB11,0,2,4,0,8
PCDHB12,0,0,0,0,8
PCDHB13,0,0,2,2,4
PCDHB14,0,0,0,0,4
CH17-140K24.8,0,0,0,0,16
PCDHB15,0,0,0,0,18
TAF7,3034,3017,3533,2414,3009
SLC25A2,0,0,0,2,2
PCDHGA1,3,4,21,11,32
PCDHGA2,3,4,17,11,32
PCDHGA3,3,4,17,11,32
PCDHGB1,3,4,17,11,32
PCDHGA4,3,4,17,11,32
PCDHGB2,3,4,17,11,32
PCDHGA5,3,4,17,11,36
PCDHGB3,3,4,19,11,38
PCDHGA6,5,4,17,11,33
PCDHGA7,3,4,17,11,32
PCDHGB4,3,4,17,11,32
PCDHGA8,3,4,17,11,32
PCDHGB5,3,4,21,13,38
PCDHGA9,3,4,17,11,36
PCDHGB6,3,4,17,21,56
PCDHGA10,7,4,18,15,36
PCDHGB7,5,4,20,15,46
PCDHGA11,3,9,17,13,34
PCDHGA12,7,4,21,11,32
PCDHGC3,8,12,25,15,60
PCDHGC4,3,4,17,11,32
PCDHGC5,5,4,21,11,34
DIAPH1,6384,6372,4386,2080,3339
HDAC3,942,868,543,319,483
RELL2,246,197,176,65,103
FCHSD1,1096,1017,841,372,584
ARAP3,0,16,4,6,70
PCDH1,0,3,8,12,16
KIAA0141,831,848,506,184,477
PCDH12,12,12,8,20,99
RNF14,321,261,328,249,252
GNPDA1,200,218,148,86,114
NDFIP1,2592,3490,1857,1198,2163
SPRY4,0,0,52,6,19
FGF1,0,0,0,2,4
ARHGAP26,601,1236,400,738,589
NR3C1,981,702,818,806,647
HMHB1,0,0,3,2,2
YIPF5,274,240,323,187,206
KCTD16,0,0,4,0,0
PRELID2,32,9,66,2,30
SH3RF2,33,0,2,0,0
PLAC8L1,1,0,1,2,0
LARS,2756,2009,2226,1237,1754
RP11-449H3.3,2320,1476,1319,1295,1039
RBM27,2430,1556,1429,1380,1093
TCERG1,9153,5982,5701,3121,4647
GPR151,0,0,0,0,2
PPP2R2B,0,8,31,0,8
DPYSL3,6,18,16,66,209
JAKMIP2,10,6,50,16,32
C5orf46,0,0,0,0,1
SPINK5,0,0,0,2,16
CTC-295J13.3,0,0,0,0,0
SPINK9,0,0,0,0,1
FBXO38,1767,1206,1443,1050,1100
ADRB2,51,47,74,14,10
SH3TC2,0,0,0,0,0
ABLIM3,6,9,49,31,14
AFAP1L1,2,14,277,23,54
GRPEL2,36,24,26,50,26
PCYOX1L,575,477,307,65,275
IL17B,4,4,3,1,4
CSNK1A1,3280,2938,2125,1818,1893
ARHGEF37,0,0,10,1,10
PPARGC1B,581,281,108,172,185
PDE6A,4,0,0,0,0
SLC26A2,105,103,95,74,116
TIGD6,102,65,70,70,111
HMGXB3,1051,773,722,465,610
CSF1R,747,3116,1739,857,1205
PDGFRB,97,31,71,5,19
CDX1,0,0,0,1,0
SLC6A7,10,20,7,14,13
CAMK2A,5,0,3,1,1
ARSI,3,2,0,0,2
TCOF1,3154,2161,2330,1213,1934
CD74,351374,314791,174930,212379,148763
RPS14,6982,6753,4969,2652,3343
NDST1,386,262,143,147,358
SYNPO,32,24,226,3800,1105
MYOZ3,2,0,0,2,8
RBM22,841,843,687,581,633
DCTN4,447,329,234,248,258
SMIM3,288,270,345,298,336
IRGM,2,0,16,12,2
ZNF300,63,45,52,47,88
GPX3,49,108,47,62,94
TNIP1,5771,6103,6542,7638,6108
ANXA6,6313,4611,4791,10332,4884
CCDC69,3991,2393,4174,1271,3058
GM2A,589,310,276,375,199
SLC36A3,6,4,2,2,3
SLC36A1,33,26,27,60,20
FAT2,245,33,110,145,35
SPARC,54,490,155,253,551
ATOX1,163,123,168,365,151
G3BP1,1048,693,1080,1445,818
GLRA1,0,0,0,0,0
NMUR2,0,0,0,0,0
GRIA1,0,2,4,0,0
FAM114A2,569,410,382,166,247
MFAP3,61,47,37,36,30
GALNT10,1292,615,860,486,407
SAP30L,411,299,323,243,240
HAND1,0,0,7,7,4
LARP1,3430,2670,2458,2642,2166
FAXDC2,932,718,646,324,575
CNOT8,2039,1648,1320,801,1265
GEMIN5,122,107,96,73,95
MRPL22,108,104,84,50,88
KIF4B,0,2,0,0,0
SGCD,2,0,7,14,1
AC016577.1,2,0,0,0,0
PPP1R2P3,26,30,22,38,14
TIMD4,48,22,55,30,2
HAVCR1,40,25,8,4,5
HAVCR2,1402,1149,671,383,470
MED7,306,176,228,193,180
ITK,6,4,363,41,26
CYFIP2,2970,823,1986,985,1363
FNDC9,14,4,8,3,8
ADAM19,4350,2307,2631,4866,2125
NIPAL4,20,13,8,13,6
SOX30,3,1,3,4,2
C5orf52,0,1,0,0,0
THG1L,356,447,278,255,235
LSM11,12,21,10,10,22
CLINT1,6111,5193,5560,4981,4186
EBF1,6,10,4,21,54
RNF145,708,610,812,1639,655
UBLCP1,950,587,692,380,476
IL12B,10,4,9,183,87
ADRA1B,0,2,0,0,0
TTC1,3923,3607,2816,1998,2337
PWWP2A,337,249,225,181,190
FABP6,2,0,0,0,2
CCNJL,3,0,67,0,84
C1QTNF2,0,0,0,0,2
ZBED8,0,6,4,2,14
SLU7,3398,3402,2679,2175,2528
PTTG1,147,178,163,77,97
ATP10B,0,0,0,1,0
GABRA1,0,0,0,0,0
GABRG2,0,2,0,0,0
CCNG1,397,243,228,256,256
NUDCD2,404,306,400,179,357
HMMR,209,86,499,92,92
MAT2B,1010,952,704,472,502
TENM2,0,0,0,6,14
WWC1,0,16,4,0,0
RARS,454,462,447,278,352
FBLL1,0,0,0,0,8
PANK3,1258,844,1087,1504,1004
SLIT3,0,2,0,0,4
SPDL1,455,291,512,531,325
DOCK2,7933,5607,3960,2420,3249
FAM196B,30,10,18,12,8
FOXI1,0,0,0,0,0
C5orf58,378,336,213,31,132
LCP2,14406,12649,7895,1415,4678
KCNMB1,782,668,250,154,276
RANBP17,6,3,5,0,8
NPM1,33217,29093,29247,22258,21844
FGF18,0,0,2,2,2
SMIM23,0,0,1,0,0
FBXW11,318,335,256,221,212
STK10,10386,10984,6675,3185,5646
EFCAB9,2,0,2,0,0
UBTD2,355,469,249,198,248
SH3PXD2B,2225,3584,1007,460,1416
NEURL1B,6,0,22,17,0
DUSP1,24525,23199,20715,13532,14484
ERGIC1,1033,901,1092,1012,951
RPL26L1,203,268,160,84,128
ATP6V0E1,459,437,357,388,269
CREBRF,1083,700,1139,2057,1001
BNIP1,142,94,122,49,51
NKX2-5,0,0,3,4,1
STC2,12,12,20,26,14
BOD1,281,236,254,215,255
CPEB4,514,471,752,636,489
C5orf47,0,0,0,2,2
HMP19,0,0,0,0,6
MSX2,0,4,0,0,0
SFXN1,166,117,177,44,122
HRH2,2042,2885,559,265,1070
THOC3,434,273,365,156,267
FAM153B,0,2,2,32,62
SIMC1,106,81,66,26,128
KIAA1191,662,479,477,657,488
ARL10,455,246,247,235,229
NOP16,569,392,326,183,283
HIGD2A,162,128,67,65,65
CLTB,6329,6123,3625,2524,2964
FAF2,654,555,577,536,479
RNF44,729,543,476,288,481
CDHR2,5,7,7,0,2
GPRIN1,0,8,8,12,10
SNCB,0,1,0,0,2
TSPAN17,214,238,211,140,194
UNC5A,0,0,0,0,0
HK3,0,24,64,83,30
UIMC1,2542,2192,1700,1505,1874
ZNF346,438,314,305,179,251
FGFR4,0,3,0,0,0
NSD1,2732,1790,1600,1988,1481
RAB24,3628,3387,1701,214,1240
MXD3,3858,3881,1899,330,1402
PRELID1,3407,3901,1624,472,1119
LMAN2,2046,2381,2121,906,1410
RGS14,409,408,236,14,229
SLC34A1,0,1,0,0,0
PFN3,2,0,1,0,0
F12,7,9,2,2,2
GRK6,1368,1323,1175,384,881
PRR7,41,21,68,14,38
DBN1,1531,59,488,451,1046
PDLIM7,239,80,87,81,133
DOK3,18,32,54,11,37
DDX41,3637,3573,2478,1524,2176
FAM193B,1065,819,1176,673,938
TMED9,3045,3267,3051,2054,1981
B4GALT7,113,82,81,42,70
FAM153A,0,0,8,11,34
FAM153C,2,0,2,4,22
N4BP3,10,14,116,44,46
RMND5B,207,169,105,61,131
NHP2,812,736,570,214,460
HNRNPAB,7318,6694,5298,3311,4158
PHYKPL,1018,866,1104,725,771
COL23A1,5,69,48,2,45
CLK4,1219,969,1255,950,878
ZNF354A,339,289,206,199,210
ZNF354B,252,121,221,129,134
ZFP2,4,0,10,2,6
ZNF454,2,0,0,12,2
GRM6,1,0,0,0,0
ZNF879,31,26,53,20,29
ZNF354C,125,131,128,52,91
ADAMTS2,2,2,0,2,2
RUFY1,4313,3557,2492,2368,2255
HNRNPH1,31973,25549,28391,22251,23501
CBY3,16,6,8,0,1
CANX,14374,15333,13184,10275,10462
MAML1,747,734,514,463,475
LTC4S,0,8,8,0,3
MGAT4B,568,403,511,525,360
SQSTM1,2017,1703,1899,4139,1946
C5orf45,762,406,618,691,524
TBC1D9B,6535,4661,4746,4442,3175
RNF130,1586,2983,1741,786,1233
RASGEF1C,1,0,1,0,0
MAPK9,1529,973,837,544,558
GFPT2,3,3,11,11,12
CNOT6,497,302,382,447,286
SCGB3A1,0,1,0,0,6
FLT4,0,2,10,26,168
MGAT1,2878,3427,2061,4596,2304
ZFP62,346,272,353,228,261
BTNL8,0,0,6,0,0
BTNL3,0,0,1,0,0
BTNL9,2,32,34,56,309
OR2V1,0,0,0,0,4
TRIM7,9,4,26,4,13
TRIM41,2184,1797,1364,1172,1328
RACK1,5099,4992,3800,2242,3046
TRIM52,906,725,991,550,709
OR4F3,0,2,0,0,0
DUSP22,755,702,698,856,613
IRF4,3103,1891,2244,2637,2385
EXOC2,456,367,269,267,286
HUS1B,2,20,4,9,4
FOXC1,10,12,48,74,26
GMDS,572,482,474,264,382
MYLK4,83,68,44,25,30
WRNIP1,800,670,552,331,574
SERPINB1,3283,3386,2654,2802,2064
SERPINB9,8504,4841,5466,5396,3532
SERPINB6,1558,1215,878,609,879
NQO2,170,179,163,120,93
RIPK1,1780,1670,1510,1569,1167
BPHL,39,18,30,8,10
TUBB2A,69,111,97,293,135
TUBB2B,33,100,70,257,124
PSMG4,179,128,172,1350,406
SLC22A23,189,297,397,5326,1515
PXDC1,246,319,369,418,351
FAM50B,74,58,112,28,80
PRPF4B,6520,3752,3903,3830,3515
FAM217A,7,2,2,0,7
C6orf201,113,122,77,41,80
ECI2,242,219,194,85,203
CDYL,2747,1844,1859,1860,1795
RPP40,23,26,18,10,41
PPP1R3G,94,68,53,48,69
LYRM4,252,173,101,114,141
FARS2,252,139,137,89,126
NRN1,2,5,2,51,96
F13A1,12,321,132,77,186
LY86,221,200,114,22,94
RREB1,2465,2217,1935,1410,1983
SSR1,3197,3172,1845,764,1396
CAGE1,10,13,9,7,2
RIOK1,1971,1393,1329,528,979
DSP,12,2,58,108,579
SNRNP48,780,602,724,487,719
BMP6,20,46,174,31,69
TXNDC5,533,517,5467,451,1337
BLOC1S5-TXNDC5,780,739,4056,471,1165
BLOC1S5,629,612,384,238,347
EEF1E1-BLOC1S5,581,588,342,196,282
EEF1E1,149,177,102,28,34
SLC35B3,96,105,133,57,65
GCNT2,77,20,17,34,49
C6orf52,2,2,6,0,5
PAK1IP1,279,214,209,150,177
TMEM14C,552,571,459,476,336
TMEM14B,239,213,168,184,112
RP11-637O19.3,458,240,200,71,161
MAK,3,4,8,19,7
GCM2,4,0,0,0,3
SYCP2L,596,307,274,34,211
ELOVL2,6,6,0,0,2
SMIM13,40,44,31,26,26
ERVFRD-1,6,1,0,6,2
NEDD9,1828,939,826,51,369
TMEM170B,259,277,179,132,196
ADTRP,24,12,139,706,144
HIVEP1,911,420,961,2430,813
EDN1,38,14,36,90,260
PHACTR1,1556,1615,684,203,852
TBC1D7,125,119,61,33,64
GFOD1,1094,412,666,98,450
SIRT5,210,127,214,90,102
NOL7,3259,3196,3009,2028,1917
RANBP9,977,834,897,1029,726
MCUR1,542,350,427,223,288
RNF182,0,0,4,4,0
CD83,13257,10680,10518,29107,10633
JARID2,3854,5890,5131,5084,3371
DTNBP1,1686,1423,1281,887,932
MYLIP,988,617,691,544,535
GMPR,58,12,54,38,55
ATXN1,379,187,387,682,338
RBM24,0,2,38,4,2
CAP2,0,2,4,2,2
FAM8A1,65,46,60,22,47
NUP153,601,382,442,383,416
KIF13A,351,210,219,244,255
NHLRC1,4,4,4,0,0
TPMT,1455,956,701,409,500
KDM1B,1310,868,446,741,498
DEK,15397,12346,12994,7408,8908
RNF144B,3115,2816,1821,3907,1935
ID4,0,0,0,0,12
MBOAT1,33,29,39,14,28
E2F3,441,373,427,300,259
CDKAL1,236,210,231,174,178
SOX4,740,351,1483,1040,2864
PRL,0,0,2,0,0
HDGFL1,2,0,0,0,0
NRSN1,0,0,0,0,0
DCDC2,0,0,6,4,0
KAAG1,0,0,4,0,0
MRS2,337,250,222,159,166
GPLD1,38,25,52,20,43
ALDH5A1,49,15,129,78,78
KIAA0319,0,0,0,0,8
TDP2,382,310,365,489,313
ACOT13,456,431,458,1028,468
C6orf62,1588,1223,1324,2996,1337
GMNN,268,170,256,198,233
C6orf229,7,2,1,0,0
RP3-369A17.6,106,82,63,2,48
FAM65B,5784,4795,2366,315,1562
AL078584.1,4303,3656,1764,233,1146
LRRC16A,254,211,1259,118,281
SLC17A4,0,0,0,0,0
SLC17A1,0,0,0,0,0
SLC17A3,0,0,0,4,0
TRIM38,2741,2191,1523,1674,1345
HIST1H3A,12,20,9,8,9
HIST1H4A,17,4,15,1,6
HIST1H4B,4,2,6,2,0
HIST1H3B,6,0,9,0,4
HIST1H2AB,10,3,12,0,12
HIST1H2BB,2,0,3,0,0
HIST1H3C,18,2,6,2,2
HIST1H1C,1394,1567,1646,743,1025
HFE,185,203,60,18,66
HIST1H4C,9,0,4,7,4
HIST1H1T,1,0,0,2,0
HIST1H2BC,82,36,53,48,34
HIST1H2AC,377,291,465,425,354
HIST1H1E,164,221,240,140,126
HIST1H2BD,121,99,123,153,58
HIST1H2BE,22,21,5,23,6
HIST1H4D,0,0,0,2,0
RP1-34B20.21,84,64,69,66,52
HIST1H3D,11,6,2,12,3
HIST1H2AD,58,53,66,55,42
HIST1H2BF,25,5,20,8,12
HIST1H4E,64,80,31,32,40
HIST1H2BG,77,74,80,32,65
HIST1H2AE,87,43,106,50,36
HIST1H3E,21,24,30,20,18
HIST1H1D,26,18,42,32,16
HIST1H4F,13,4,10,8,4
HIST1H2BH,14,6,16,0,14
HIST1H3G,4,2,4,2,0
HIST1H2BI,10,0,6,2,0
HIST1H4H,32,10,18,10,30
BTN3A2,975,667,1604,705,1078
BTN2A2,2729,1924,1849,3970,1612
BTN3A1,845,514,963,652,842
BTN3A3,860,690,899,825,1047
BTN2A1,2173,2168,1660,1999,1558
BTN1A1,0,1,0,0,0
HMGN4,2023,2070,1417,1401,1317
ABT1,262,200,197,104,112
ZNF322,100,53,91,44,70
HIST1H2BJ,7,2,2,2,10
HIST1H2AG,4,0,24,10,4
HIST1H4I,82,44,72,63,77
HIST1H2BK,195,119,179,174,159
HIST1H2AH,6,4,8,6,4
PRSS16,0,0,4,0,0
ZNF391,6,4,41,8,14
ZNF184,77,68,91,46,112
HIST1H2BL,0,0,2,4,4
HIST1H2AI,42,20,63,20,12
HIST1H3H,10,10,11,0,10
HIST1H2AJ,16,14,30,4,0
HIST1H2BM,6,2,0,0,0
HIST1H4J,0,2,4,0,0
HIST1H4K,26,12,18,16,8
HIST1H2BN,80,63,72,36,46
HIST1H2AK,19,12,7,11,7
HIST1H2AL,48,56,64,16,15
HIST1H1B,45,21,27,8,16
HIST1H3I,0,4,4,4,0
HIST1H4L,0,2,0,0,0
HIST1H3J,45,24,74,25,26
HIST1H2AM,45,25,72,26,22
HIST1H2BO,0,2,0,0,0
OR2B2,0,0,0,0,0
ZNF165,95,38,101,9,53
ZSCAN16,135,147,96,28,133
ZKSCAN8,337,202,293,167,235
ZSCAN9,214,200,180,111,140
ZKSCAN4,278,203,214,90,168
NKAPL,96,82,70,62,52
ZSCAN26,278,219,281,102,205
RP5-874C20.8,155,110,121,47,88
PGBD1,33,42,49,28,52
ZSCAN31,39,60,44,32,43
ZKSCAN3,85,50,83,52,71
ZSCAN12,168,127,175,161,103
ZSCAN23,17,4,20,14,23
GPX6,0,0,0,0,0
ZBED9,0,0,8,0,0
TRIM27,740,836,502,291,447
ZNF311,5,0,22,2,8
OR2J1,1,0,0,0,0
OR2J2,0,0,0,0,2
OR2H1,0,0,1,0,0
UBD,56,141,738,9397,1794
GABBR1,826,1377,1088,10057,2547
OR2H2,0,3,2,6,8
MOG,0,2,0,0,1
ZFP57,2,0,0,2,0
HLA-F,4655,3663,5286,6317,4125
HLA-G,818,650,832,968,721
HLA-A,49381,42066,45541,55573,42555
ZNRD1,289,251,176,256,187
PPP1R11,757,655,594,513,413
RNF39,112,88,77,50,74
TRIM31,0,0,0,10,2
TRIM40,0,0,0,2,1
TRIM10,2,2,0,0,0
TRIM15,1,0,0,0,2
TRIM26,2426,1867,1347,1433,980
TRIM39,847,736,650,460,652
TRIM39-RPP21,392,351,283,172,223
RPP21,66,52,53,11,44
HLA-E,38162,35810,30445,26279,28984
GNL1,2337,1753,1843,856,1631
PRR3,158,103,99,54,120
ABCF1,5198,4870,3953,3138,3246
PPP1R10,1533,1321,1003,689,776
MRPS18B,415,412,342,250,362
ATAT1,61,60,42,43,42
C6orf136,66,42,44,51,31
DHX16,2917,2548,2070,1660,1710
PPP1R18,7840,9462,5659,11790,5976
NRM,46,46,45,41,57
MDC1,1925,1294,1959,2250,1660
TUBB,2060,1342,2606,4319,1888
FLOT1,8754,9854,5959,6884,6135
IER3,544,990,1026,4851,1436
DDR1,43,55,82,172,83
GTF2H4,157,159,141,91,86
VARS2,529,513,433,289,426
SFTA2,0,0,0,1,4
DPCR1,4,0,0,1,2
MUC21,0,1,0,0,1
MUC22,2,3,4,2,1
PSORS1C1,2,1,1,0,4
CDSN,2,0,1,0,3
PSORS1C2,0,1,0,0,0
CCHCR1,481,397,399,276,350
TCF19,143,82,178,76,118
POU5F1,10,2,8,2,3
