,CD141+_1,CD141+_2,CD141+_3,CD141+_4,CD1C+_1,CD1C+_2,CD1C+_3,CD1C+_4,IL7R+CCR7+_1,IL7R+CCR7+_2,IL7R+CCR7+_3,IL7R+CCR7+_4
FADD,20.4927017263541,20.4416012135035,22.6917485425134,8.02045903226314,8.93846860121959,15.3505005372018,13.943915679693,15.2148295918407,13.7102848447701,13.4992262449616,10.0531337119699,22.6149407925215
PPFIA1,31.8179907058433,33.1678977360642,30.5459171881348,31.8558865132292,37.498749606277,34.210631557502,43.0165140405477,30.4330544533954,29.1566079982672,35.3865969340547,27.8492549755279,39.001081412237
CTTN,4.23098160314669,1.10187483963298,8.64635214967041,2.70436964242795,3.50825233470209,1.31270490238866,1.96667747722853,4.00144554106582,10.8067495099715,13.4457109588775,2.24722584823754,7.43425935006037
SHANK2,0,0,0.026838791297999,0,0,0,0.009926985906301,0,0,0.025689342570016,0,0.015398473791408
DHCR7,1.62616654647491,0.430780538393543,1.68036640055569,2.12966323246102,1.22089570682316,0.85991575855004,0.843497901494155,0.540629411258361,2.15620486166269,6.26127087497732,3.40626179020091,3.48909674480244
NADSYN1,15.9506909852842,18.8227397809221,16.2823672842852,14.5103716790601,14.6156147924729,15.7493124379684,15.3986541047728,17.0600185702224,10.864197306435,12.8128324859648,12.393882929353,12.7121788085275
KRTAP5-7,0,0,0,0,0,0,0,0,0,0,0.821547370549384,0
KRTAP5-8,0,0,0,0,0,0,0,0,0,0,0,0
KRTAP5-9,0,0,0.293021639265244,0,0.715341709913287,0.629797456966226,0.325143742607087,0,0,0,0.254563973973048,0.588413276087883
KRTAP5-10,0,0.261079114177905,0.266724825485029,0,0,0,0,0,0,0,0,0
KRTAP5-11,2.73520785740852,0,0,0,0,0,0,0,0,0,0,0
DEFB108B,0,0,0,0,0,0,0,0,0,0,0,0
RNF121,7.44015644476325,8.22102778370122,9.93858424582737,8.05324649381155,4.89809529658596,9.92844704236749,7.76625928514825,4.98673691981105,9.82474005071569,11.254740804737,7.53971817277954,14.9915891592001
IL18BP,84.5621650815544,59.5050212544605,63.2558006665898,87.9363310453993,77.1649014342918,67.0682573395327,73.9068348913782,65.0306023257802,53.7545030534982,57.3774764377908,59.402264838502,49.4353485972373
NUMA1,109.123209660981,120.644068729823,134.327555752651,90.852608899702,105.355023327205,120.62408429788,129.049090122779,100.119618577565,83.4181904075241,93.6762214300435,61.3738625258973,123.465987806094
LRTOMT,15.2029632860545,16.1216353004856,15.1970636895494,13.7641586757069,16.5660286219567,18.3403907878251,15.3600782884476,13.4440609276937,10.3553201023408,11.1624625547307,12.6612430700814,16.1638527925332
LAMTOR1,27.067653386969,27.2695161158606,32.3526267802144,23.7735035623112,22.7436433356304,26.977457951459,23.6669063733239,25.5386271267645,22.3017582557427,17.1178872039855,16.7598029459232,21.82751212788
ANAPC15,48.2829886847909,53.8523895200843,49.3016276800799,47.1190144714697,55.2463141735875,59.9310279340764,42.5991309252684,44.8910105028984,33.717562427904,32.9888939664737,45.9405414118937,47.9608281754467
FOLR3,0,0,0,0.384622690242158,0,0,0.529173770202938,0,0,0,5.80026567631427,0
FOLR1,0,0,0,0,0,0,0,0,0,0,0,1.81657074454888
FOLR2,2.20497158844056,0,0,2.84392624776511,1.14777991873092,0,2.21722314873872,0,0,4.05020787434391,0,2.09055305999908
