"","Ctr_1","Ctr_2","Ctr_3","Ctr_4","Ctr_5","PAMP_1","PAMP_2","PAMP_3","PAMP_4","PAMP_5","PAMP_6"
"PDZK1P1",0,0,15,1,22,54,80,0,14,1,19
"RNVU1-7",243,282,313,115,340,292,443,520,235,359,247
"LINC01138",0,0,6,4,2,11,21,20,6,5,13
"LINC00869",60,18,17,24,41,68,40,57,46,39,49
"ADAMTSL4-AS1",27,18,20,25,28,29,23,33,19,10,18
"U4",61,28,50,66,41,51,28,25,11,21,18
"RN7SL431P",16,10,7,1,36,47,0,14,0,28,8
"UBE2Q1-AS1",1129,616,685,668,662,1288,911,1025,647,924,827
"MTX1P1",98,40,69,48,34,20,39,0,0,34,10
"RUSC1-AS1",699,387,365,438,425,560,437,629,269,478,505
"ASH1L-IT1",0,0,0,0,0,40,14,1,0,47,16
"ASH1L-AS1",47,17,15,19,27,30,21,55,38,16,35
"MSTO2P",54,56,53,62,51,96,105,70,27,64,94
"CYCSP52",5,4,5,16,5,60,17,31,12,15,18
"ELL2P1",0,7,4,13,10,24,6,15,10,0,5
"SETP9",0,0,0,0,0,32,19,23,13,21,21
"HSPA7",77,30,66,41,108,61,74,56,22,19,31
"ANKRD36BP1",10,23,0,11,8,10,3,0,5,16,0
"GAS5",382,275,236,135,232,294,120,173,122,182,234
"SNORA67",103,36,45,46,19,42,23,61,28,54,43
"KIAA1614-AS1",68,80,24,0,181,80,172,0,106,50,0
"SMG7-AS1",0,16,3,8,6,82,62,28,33,33,55
"IPO9-AS1",172,136,99,75,114,233,234,225,166,274,187
"HNRNPA1P59",3,6,4,1,4,11,1,13,1,6,13
"LINC01353",49,9,26,6,12,0,0,0,2,0,0
"SNRPGP10",29,55,72,52,25,38,40,51,20,22,33
"C1orf147",14,0,15,39,9,8,5,14,0,1,7
"LINC00467",224,160,126,131,155,125,142,193,128,149,90
"TGFB2-AS1",10,13,1,8,9,1,0,6,2,7,3
"MORF4L1P1",862,629,553,505,756,982,603,658,370,616,678
"HLX-AS1",44,38,25,20,0,29,4,57,21,60,33
"TAF1A-AS1",22,9,6,12,41,34,8,61,9,17,26
"ACTBP11",0,13,0,0,54,22,12,9,0,0,0
"GTF2IP20",53,10,18,36,34,41,59,39,15,13,60
"RNA5S9",20,32,21,3,11,6,15,8,8,13,19
"FTH1P2",60,82,97,45,50,158,85,91,62,82,76
"LDHAP2",63,15,49,28,17,47,60,47,26,30,55
"LYST-AS1",8,0,21,1,6,13,0,13,4,1,6
"ENO1P1",19,46,11,6,0,38,15,20,29,44,63
"LGALS8-AS1",33,24,37,26,36,38,34,26,9,20,19
"IDI2-AS1",251,146,110,115,194,264,145,269,155,196,191
"PITRM1-AS1",303,215,139,106,189,324,261,415,269,374,310
"LINC00702",0,0,10,0,3,10,0,0,0,0,3
"AKR1C7P",54,18,11,35,20,13,5,17,8,9,15
"CELF2-AS1",23,5,40,22,45,47,40,50,14,17,15
"PROSER2-AS1",0,0,0,0,0,58,15,14,12,44,11
"VIM-AS1",4368,2981,2247,2455,2575,3284,2546,3155,2103,2735,2905
"SNORA57",8,7,5,4,10,6,15,11,4,7,17
"WAC-AS1",819,608,543,544,701,841,559,845,357,626,635
"SVIL-AS1",442,431,348,375,425,760,561,806,508,448,502
"PTCHD3P1",86,82,16,26,37,99,32,67,74,125,62
"DDX10P1",47,0,0,3,28,18,0,8,8,2,7
"NAMPTP1",229,161,132,168,140,822,428,520,416,432,463
"HSD17B7P2",38,17,65,28,73,139,185,105,40,93,53
"ZNF37BP",459,242,186,277,228,208,163,124,104,200,125
"ZNF32-AS2",31,17,11,8,34,52,14,13,18,27,12
"TMEM72-AS1",0,0,3,5,0,0,23,0,7,4,6
"CEP164P1",105,32,50,40,44,162,90,80,35,119,140
"FAM21FP",31,9,1,47,30,7,72,37,0,23,39
"PARGP1",114,60,85,76,80,95,82,81,59,62,45
"AGAP7P",29,1,32,1,9,1,0,23,1,4,7
"BMS1P1",25,38,8,27,15,12,11,21,9,22,21
"AGAP13P",119,0,12,0,0,0,0,0,0,0,11
"BMS1P2",18,51,8,57,32,45,19,18,20,17,18
"AGAP12P",9,10,5,19,27,2,42,27,0,30,7
"BMS1P7",3,0,3,10,2,34,23,10,5,11,15
"DYNC1I2P1",5,12,9,4,0,12,4,16,9,15,7
"SGMS1-AS1",10,8,18,17,22,45,55,34,22,13,11
"SNORD2",50,28,17,49,35,50,31,39,25,28,38
"JMJD1C-AS1",5,26,4,11,4,5,2,3,8,0,6
"DBF4P1",0,9,5,2,10,0,0,0,0,0,0
"CALM2P2",10,18,16,10,7,15,13,20,7,20,9
"DNAJC9-AS1",28,15,21,22,53,106,54,64,24,34,40
"PPP3CB-AS1",343,187,163,190,272,374,305,315,213,272,259
"BMS1P4",173,97,105,118,132,235,139,173,105,113,151
"GLUD1P3",29,31,41,21,27,14,17,24,11,13,11
"DUSP8P5",4,13,21,31,0,4,25,1,8,4,0
"ZSWIM8-AS1",552,398,389,422,491,643,446,595,288,392,432
"ZMIZ1-AS1",718,459,505,542,689,78,57,49,10,9,20
"NUTM2B-AS1",93,92,51,104,60,134,52,145,63,119,66
"BEND3P3",16,1,18,0,15,100,8,7,0,48,14
"TMEM254-AS1",44,32,0,8,1,19,2,4,6,26,14
"ADIRF-AS1",11,4,0,6,5,262,268,328,182,298,204
"AGAP11",2,2,0,0,0,9,24,24,29,11,17
"NUTM2A-AS1",176,101,125,163,206,270,193,302,99,159,169
"LINC00863",39,24,23,12,22,43,19,24,10,66,23
"PTCD2P2",0,0,0,0,0,0,0,0,21,5,22
"ACTA2-AS1",66,29,35,25,43,30,37,65,14,58,34
"SRP9P1",91,60,45,35,93,126,53,50,60,54,58
"ENTPD1-AS1",1356,1137,418,698,599,43,19,95,15,87,111
"RPL13AP5",143,149,97,67,73,62,58,64,38,83,83
"EBAG9P1",14,0,0,0,13,2,13,15,20,6,0
"DNMBP-AS1",97,52,12,48,53,42,7,38,33,38,30
"OLMALINC",63,0,1,2,33,0,0,0,2,5,3
"YWHAZP5",8,13,15,3,11,16,6,8,6,8,6
"RNU4-5P",23,20,18,5,14,46,14,37,29,29,29
"CASC2",17,21,23,11,18,19,17,4,10,18,0
"LINC00867",0,0,89,74,100,0,0,0,38,106,149
"EDRF1-AS1",71,38,19,42,86,71,25,108,25,61,48
"LINC01166",3,0,3,0,0,36,29,64,37,26,24
"SCART1",0,6,0,0,0,38,22,17,4,35,86
"AGGF1P2",0,41,0,58,5,0,27,57,0,28,7
"LINC01001",1,15,13,48,11,19,31,56,21,14,4
"MIR4298",9,33,7,15,5,12,5,1,16,8,0
"KCNQ1OT1",54,39,61,31,44,89,24,63,36,23,46
"RRM1-AS1",166,122,107,83,107,102,43,82,35,84,76
"GVINP1",222,97,130,145,137,143,95,153,82,68,108
"TMEM9B-AS1",1,18,20,1,14,24,0,0,0,10,2
"SBF2-AS1",71,56,35,62,33,61,64,67,36,62,77
"SNORD97",1,0,9,5,5,15,0,33,11,0,2
"ZBED5-AS1",196,300,121,312,132,52,170,134,68,39,183
"SNORD14B",29,0,4,4,0,0,0,0,3,2,2
"ST13P5",60,36,24,24,48,37,27,45,26,48,27
"HSP90AA2P",89,112,83,68,71,248,204,181,110,263,140
"PIGCP1",99,80,94,102,108,108,88,133,54,75,43
"LINC00294",75,74,70,57,62,76,33,90,25,81,38
"FABP5P7",538,625,446,277,349,83,68,71,74,77,70
"RPLP0P2",17,30,46,47,61,77,161,30,0,51,40
"MIR6747",17,24,19,9,17,16,9,15,6,13,14
"RNU2-2P",149,128,123,57,117,125,93,197,104,115,115
"SNHG1",317,155,183,216,236,231,166,151,76,114,175
"SNORD22",35,25,30,15,35,26,14,6,3,12,17
"SNORD30",28,0,6,2,3,0,11,10,1,3,20
"SNORD27",10,0,0,8,11,7,0,21,0,8,5
"SNORD26",18,16,3,14,15,20,8,0,1,18,5
"NEAT1",13472,13583,8218,9358,11616,21843,17380,20989,9905,18877,22889
"MALAT1",46031,32649,37783,29779,32873,97664,69894,93231,45050,66033,72028
"ALG1L9P",0,1,8,0,10,0,5,12,2,0,0
"OR7E128P",34,38,1,13,29,0,0,17,13,6,1
"ARAP1-AS1",184,161,74,121,78,202,89,153,108,182,156
"ARAP1-AS2",69,86,53,79,39,68,31,82,25,74,58
"OR2AT1P",57,50,51,88,131,8,79,67,13,59,0
"FTH1P16",30,25,14,12,16,26,15,8,10,10,31
"KCTD21-AS1",194,53,146,88,198,519,194,528,119,382,136
"SETP17",33,0,4,1,6,0,0,0,1,1,3
"SNORD56",19,12,7,19,27,47,11,34,15,13,23
"TUBAP2",49,68,28,27,36,68,38,39,39,66,44
"SCARNA9",13,10,11,11,17,56,37,42,29,32,30
"SNORD6",5,0,2,0,0,1,0,0,2,1,6
"SNORA8",33,15,1,2,37,15,0,0,3,4,8
"SNORD5",20,0,1,21,5,15,17,0,10,2,4
"SNORA18",4,1,7,0,5,0,1,5,3,1,3
"WTAPP1",459,151,25,83,94,49,15,24,47,93,95
"RPSAP50",40,16,29,2,23,18,0,16,10,13,6
"NCAM1-AS1",859,357,394,618,1487,112,292,200,81,90,142
"ATF4P4",8,14,9,9,6,18,12,12,9,10,13
"LINC00900",0,51,0,16,31,44,0,0,7,0,13
"APOA1-AS",9,6,5,3,7,7,15,21,6,24,9
"BACE1-AS",9,0,24,16,25,27,20,60,4,3,22
"RPL23AP64",15,4,3,3,0,3,7,0,0,12,15
"SNORD14E",7,0,5,6,10,15,19,16,17,5,7
"SNORD14D",0,0,0,1,0,13,11,8,9,4,14
"SNORD14C",0,8,1,8,3,0,1,8,7,1,1
"LINC00942",115,42,118,266,81,75,116,12,12,0,36
"OTUD4P1",48,9,27,13,65,91,35,60,18,26,43
"HSPA8P5",7,21,25,5,6,39,12,14,19,15,15
"CCND2-AS1",6,4,4,11,0,0,0,5,3,2,3
"CD27-AS1",174,77,29,79,86,28,11,51,11,41,46
"SCARNA10",22,55,82,47,17,116,62,19,23,14,70
"DSTNP2",144,35,39,104,73,78,77,87,33,91,54
"RNU7-1",41,14,19,4,24,10,7,0,2,8,7
"SCARNA12",31,0,3,1,25,7,6,22,3,4,18
"C1RL-AS1",132,94,80,65,69,188,121,176,92,161,167
"RNU6-485P",0,64,38,10,0,42,35,34,4,13,60
"LINC00937",130,40,3,65,49,0,5,0,0,0,7
"A2ML1-AS1",0,6,2,1,1,17,0,14,1,21,1
"A2M-AS1",10,14,9,20,21,4,1,0,2,0,0
"A2MP1",13,11,16,4,5,27,0,34,22,3,9
"LINC00987",13,25,12,5,18,37,9,28,26,11,32
"SNORA75",0,0,0,9,2,16,17,0,1,6,4
"DDX12P",32,32,23,13,34,30,28,46,31,31,27
"GOT2P3",14,0,0,56,10,66,100,397,4,99,75
"KLRA1P",10,174,215,46,48,164,386,149,0,312,263
"LOH12CR2",14,4,3,49,5,0,3,0,0,0,0
"RPL13AP20",11,7,14,9,6,9,6,11,5,6,5
"HTR7P1",95,29,105,54,111,65,29,46,10,32,20
"PLBD1-AS1",8,16,38,16,45,3,14,33,9,0,0
"EEF1A1P4",45,93,46,34,50,74,61,51,34,114,35
"RASSF8-AS1",2,10,19,0,0,47,2,80,31,38,31
"ARNTL2-AS1",47,27,51,24,50,324,176,382,127,182,228
"FLJ13224",1,9,12,0,6,4,6,21,0,13,15
"PLEKHA8P1",37,34,61,16,48,137,215,107,56,94,138
"PCED1B-AS1",0,0,2,4,10,28,47,49,12,15,28
"SNORA64",15,15,17,0,5,18,0,4,10,6,5
"BCDIN3D-AS1",0,55,0,113,3,330,0,154,8,78,14
"PCBP2-OT1",65,28,45,33,42,82,50,71,35,54,53
"PHC1P1",82,25,71,33,70,66,30,82,13,50,33
"TMEM198B",81,86,19,65,71,57,36,12,36,50,16
"SNORA48",9,1,12,0,5,0,1,21,3,3,7
"MIR616",161,76,55,59,95,37,22,21,18,25,45
"LINC01465",7,8,4,2,6,9,0,14,4,2,16
"RPL14P1",20,42,16,8,38,47,35,33,34,32,38
"KRT8P39",1,16,0,23,0,13,1,2,13,0,4
"LINC01619",126,117,101,126,169,98,113,77,71,52,47
"RPL41P5",16,24,13,9,26,10,12,11,4,10,13
"SOCS2-AS1",166,34,186,57,68,968,502,957,358,453,464
"SLC9A7P1",0,0,6,10,4,0,0,5,0,0,0
"TMPO-AS1",231,111,93,86,76,85,83,91,78,127,89
"GOLGA2P5",14,0,1,11,3,7,6,20,13,4,2
"HELLPAR",46,18,50,25,47,157,109,196,77,78,81
"TTC41P",13,25,4,46,28,8,5,25,5,9,6
"RPL18AP3",49,69,42,22,45,38,26,27,21,33,33
"ST13P3",12,32,29,15,8,16,17,11,4,18,14
"USP30-AS1",11,8,1,20,25,136,47,26,24,10,31
"PCNPP1",23,13,5,8,13,8,14,1,14,2,8
"MAPKAPK5-AS1",260,181,193,154,221,205,133,226,97,163,130
"ADAM1A",333,56,58,93,237,131,225,194,40,230,151
"RN7SKP71",5,21,11,15,5,13,10,16,12,8,5
"RPS2P5",232,175,96,132,127,152,95,108,97,119,140
"PXN-AS1",63,57,43,82,60,45,38,68,19,36,35
"RNU4-2",26,41,31,16,34,42,27,32,12,39,28
"RNU4-1",12,0,23,9,24,11,16,31,11,2,7
"NRAV",180,114,154,73,126,330,88,242,153,187,99
"LINC01089",92,129,72,44,87,101,61,74,47,66,122
"CLIP1-AS1",7,0,0,1,6,29,5,35,22,9,15
"SNORA9",39,15,16,13,12,49,22,63,22,73,38
"THRIL",49,20,9,8,40,0,64,24,49,13,2
"RNU6-1017P",0,0,0,0,0,16,56,0,1,9,44
"PSPC1P1",17,23,25,16,25,40,29,20,11,12,31
"MIPEPP3",0,0,1,0,27,94,0,0,3,3,13
"ZDHHC20-IT1",12,7,0,1,0,3,2,22,26,6,6
"LINC00540",79,123,66,153,159,39,11,29,5,25,12
"FTH1P7",14,18,16,10,7,35,23,24,19,26,21
"USP12-AS1",7,0,5,0,2,1,0,0,3,0,5
"SNORD102",20,0,4,0,16,16,16,0,4,11,2
"PAN3-AS1",45,5,35,6,11,26,16,37,21,17,22
"IFIT1P1",14,0,10,3,0,17,0,16,4,5,8
"ATP8A2P2",5,8,5,19,6,21,2,4,7,3,0
"N4BP2L2-IT2",88,104,62,24,60,113,25,76,87,41,93
"LINC00571",506,0,242,2,570,445,160,721,121,49,153
"RGS17P1",9,3,0,4,12,10,2,1,9,0,10
"LINC01050",379,100,222,164,385,158,149,179,73,63,153
"ZDHHC4P1",6,0,0,0,0,66,56,96,73,48,73
"TPT1-AS1",195,196,126,102,244,94,107,93,65,91,81
"RCN1P2",20,21,22,12,16,39,36,33,26,29,23
"SLC25A30-AS1",229,139,180,145,152,41,53,82,16,58,53
"LINC01055",3,0,0,0,0,0,19,35,106,24,5
"CPB2-AS1",1,0,1,240,146,0,0,750,1,58,226
"MED4-AS1",60,12,22,47,32,103,68,53,26,29,86
"LINC00462",0,0,3,1,23,11,0,0,0,0,5
"PSME2P2",34,10,14,23,14,90,76,77,47,52,66
"DLEU2",225,136,87,126,122,145,135,147,106,131,155
"ST13P4",51,60,40,23,59,59,54,40,29,62,40
"RNASEH2B-AS1",7,25,13,9,4,4,3,18,0,19,15
"INTS6-AS1",30,11,29,16,24,44,13,44,8,13,34
"FABP5P2",68,94,98,66,56,18,11,7,6,0,12
"MRPS31P5",110,92,95,99,118,118,94,160,37,84,110
"MRPS31P4",43,47,92,82,47,108,81,55,32,48,39
"HNRNPA3P5",85,87,83,39,44,86,24,57,45,35,60
"FABP5P1",38,96,29,35,72,15,11,9,0,23,11
"LMO7-AS1",22,15,2,6,23,1,20,0,13,1,8
"MYCBP2-AS1",615,374,361,514,429,656,646,709,333,546,516
"PTMAP5",90,121,79,51,57,58,43,63,28,78,62
"MIR17HG",24,12,15,26,38,174,153,236,72,121,139
"HMGB3P4",16,38,7,0,10,6,6,8,18,12,12
