"","Ctr_1","Ctr_2","Ctr_3","Ctr_4","Ctr_5","PAMP_1","PAMP_2","PAMP_3","PAMP_4","PAMP_5","PAMP_6"
"EGLN1",145,178,122,53,103,113,162,97,156,89,133
"TSNAX",567,239,354,360,458,314,348,371,234,156,233
"TSNAX-DISC1",275,143,238,195,212,158,188,205,117,87,133
"DISC1",22,0,24,5,3,69,41,91,15,65,39
"SIPA1L2",1962,1325,1164,1417,1320,548,337,589,345,374,355
"MAP10",61,18,11,29,22,44,32,61,47,46,35
"NTPCR",173,41,61,121,76,98,111,100,26,109,88
"PCNX2",38,15,31,38,35,48,21,26,19,13,9
"COA6",605,364,455,363,654,504,504,467,228,366,325
"TARBP1",31,71,49,53,122,62,36,55,36,25,15
"IRF2BP2",498,251,285,394,393,62,117,95,21,102,66
"TOMM20",375,252,248,211,286,198,256,258,187,136,216
"RBM34",1899,1131,1173,1033,1237,1801,1447,1664,915,1440,1422
"ARID4B",7211,4245,4402,3968,4790,9154,6272,7632,4500,6361,6474
"GGPS1",211,258,193,94,183,189,141,221,152,170,161
"TBCE",488,369,304,409,384,642,625,570,372,553,386
"B3GALNT2",274,194,122,194,110,89,117,83,64,120,102
"GNG4",19,17,30,23,32,24,4,5,0,10,5
"LYST",3085,1887,2253,2160,3120,5125,3077,4680,2176,2861,2910
"NID1",78,34,96,64,78,736,514,686,190,367,384
"GPR137B",288,142,208,225,265,1125,712,884,383,554,690
"ERO1B",250,115,203,134,213,572,424,423,206,354,326
"EDARADD",18,48,27,6,9,65,70,81,60,117,98
"LGALS8",1025,606,534,622,664,911,635,619,349,684,672
"HEATR1",775,525,459,496,492,488,364,575,247,410,483
"ACTN2",24,17,6,6,30,43,60,167,41,138,89
"MTR",815,640,621,605,495,576,599,751,340,485,649
"FH",367,237,105,224,311,98,163,210,123,171,101
"KMO",263,144,183,110,263,140,177,146,86,113,115
"OPN3",126,104,91,78,131,41,64,74,18,56,65
"CHML",153,150,71,171,186,74,119,67,41,45,98
"CEP170",4415,2723,2482,2318,2665,1108,735,1055,590,925,925
"SDCCAG8",1200,767,546,906,900,288,135,277,140,183,173
"AKT3",224,201,208,175,277,598,494,576,311,378,347
"ZBTB18",231,112,93,87,124,156,75,124,102,132,88
"DESI2",170,168,156,62,160,154,115,56,96,91,62
"COX20",1242,1033,798,739,951,1150,619,934,640,621,859
"HNRNPU",25045,14753,13322,12665,14955,24276,15395,20674,13907,17551,17483
"EFCAB2",111,124,77,56,73,237,113,173,138,231,123
"SMYD3",0,0,2,3,8,11,7,7,2,5,6
"TFB2M",222,211,105,196,188,183,153,122,79,160,141
"CNST",352,290,206,139,238,343,124,283,253,181,219
"SCCPDH",13,4,0,21,16,8,54,44,12,36,10
"AHCTF1",1112,672,702,732,620,1008,584,1109,615,689,645
"ZNF669",56,13,18,6,19,29,10,19,13,20,40
"ZNF124",21,12,12,25,46,6,49,46,0,33,31
"ZNF496",146,116,139,83,104,335,226,197,137,197,217
"NLRP3",1662,1201,902,877,1058,188,80,134,62,144,154
"OR2B11",64,0,1,34,12,0,0,3,2,0,0
"TRIM58",3,0,0,0,0,14,6,25,13,12,15
"SH3BP5L",1109,745,734,812,666,766,594,932,438,657,592
"ZNF672",247,132,173,145,106,240,177,351,148,190,242
"ZNF692",223,161,202,148,168,215,232,232,99,176,195
"PGBD2",511,289,263,228,335,312,216,139,92,299,177
"ZMYND11",901,515,493,633,744,1039,842,915,517,690,686
"LARP4B",1101,710,637,752,601,1546,1042,1002,692,1030,1123
"GTPBP4",4284,2390,2131,2124,2917,5580,3766,4881,3015,4192,4041
"IDI2",24,0,1,1,34,0,15,12,2,3,8
"IDI1",1302,544,452,532,856,862,603,702,413,722,709
"WDR37",310,264,296,222,271,165,97,156,66,102,104
"PFKP",1528,924,851,966,855,1591,1277,1754,880,1453,1362
"PITRM1",1628,1010,786,947,1193,2177,1821,2253,1242,1849,1856
"KLF6",1500,871,694,799,880,5565,3671,4758,2895,4372,4074
"AKR1E2",9,17,7,0,25,41,3,30,32,14,14
"AKR1C1",2630,1263,1111,1417,1818,5985,3942,5149,2985,4587,3781
"AKR1C2",347,135,97,186,206,1044,729,875,573,767,783
"AKR1C3",953,477,537,598,725,264,139,243,102,120,202
"AKR1C4",1,29,0,48,35,19,17,9,0,13,6
"NET1",428,343,380,273,315,1247,1012,1491,733,1021,943
"ASB13",34,41,0,17,23,0,0,17,5,3,6
"GDI2",9064,6301,5888,6195,7250,7873,5481,6905,3622,5667,5141
"ANKRD16",11,54,0,27,53,37,6,33,17,32,26
"IL15RA",73,22,66,33,63,2141,1306,1628,1020,1110,861
"IL2RA",608,283,299,364,527,34961,21185,28283,13200,21843,22124
"RBM17",2374,1765,1323,1167,1775,4913,2853,3913,2538,3524,3644
"PFKFB3",1600,1042,703,581,590,9751,4861,6421,5217,9342,9530
"PRKCQ",0,0,0,17,16,0,15,12,0,5,2
"SFMBT2",181,131,194,269,172,134,156,262,44,128,107
"KIN",836,371,338,462,598,912,733,782,521,557,704
"TAF3",662,372,390,381,364,497,373,496,277,404,392
"CELF2",1418,1004,850,1008,1147,1413,1346,1577,963,961,1201
"USP6NL",191,120,172,128,97,500,260,233,205,251,217
"ECHDC3",4,10,14,0,9,32,55,6,36,7,16
"PROSER2",0,0,0,0,4,39,14,15,9,24,10
"UPF2",5894,3935,4035,3472,3877,6395,5445,6687,3751,5235,5068
"DHTKD1",111,104,154,162,152,921,577,647,309,315,392
"SEC61A2",110,87,121,121,75,133,158,101,78,89,67
"NUDT5",1715,979,919,1116,1098,670,526,682,349,556,504
"CDC123",1733,1085,1129,871,1201,791,820,825,400,797,753
"CAMK1D",109,126,109,68,120,82,47,93,29,55,83
"OPTN",319,232,165,209,164,6751,4924,7203,4203,5903,5529
"PHYH",27,36,17,10,7,32,36,26,26,44,69
"SEPHS1",371,347,230,202,309,347,325,408,301,281,325
"PRPF18",1331,870,743,1037,957,1156,1075,1232,683,903,903
"FRMD4A",113,76,111,168,118,209,108,218,65,92,93
"FAM107B",4480,3048,2937,2927,3042,1967,1262,1499,914,1338,1243
"CDNF",72,18,39,21,28,41,39,43,16,33,55
"HSPA14",251,83,175,75,124,172,147,224,100,159,144
"SUV39H2",12,11,8,24,16,31,24,21,20,7,17
"DCLRE1C",93,115,159,127,172,49,111,83,47,58,14
"RPP38",145,38,53,46,98,154,98,160,53,170,98
"NMT2",1155,752,847,729,882,672,659,726,303,602,558
"PTER",162,149,88,128,144,96,47,53,26,82,56
"C1QL3",11,16,0,20,15,1,1,40,0,0,43
"RSU1",329,349,176,334,340,494,458,502,282,441,364
"TRDMT1",15,15,24,13,46,65,50,27,14,24,28
"VIM",22314,15115,11639,13042,14364,17517,11787,15761,9636,13479,13955
"STAM",215,149,177,152,155,296,127,199,79,182,165
"MRC1",919,452,931,1224,991,16,16,25,1,3,5
"CACNB2",15,3,13,0,33,85,200,482,78,126,91
"NSUN6",108,76,94,119,84,88,33,65,30,28,43
"ARL5B",119,62,86,93,103,305,163,241,140,150,136
"PLXDC2",648,622,441,433,412,11,15,43,4,20,40
"MLLT10",148,122,152,111,124,472,332,536,211,362,321
"DNAJC1",229,202,246,217,295,1183,981,1188,464,689,882
"COMMD3",390,186,154,114,245,193,150,266,170,199,190
"COMMD3-BMI1",663,407,303,256,365,430,296,382,275,388,412
"BMI1",391,193,176,175,202,329,209,267,205,294,322
"SPAG6",6,0,0,0,0,23,11,7,27,16,14
"PIP4K2A",872,641,613,524,633,1000,685,1029,501,722,830
"OTUD1",85,96,48,60,87,114,46,74,29,96,74
"KIAA1217",4,39,18,0,14,18,26,20,7,41,47
"ARHGAP21",2018,1511,1243,1316,1252,1577,934,1495,841,1032,1302
"THNSL1",101,52,20,0,44,67,0,118,6,76,113
"APBB1IP",36,64,91,43,150,61,41,68,14,27,29
"PDSS1",87,16,40,28,21,69,41,116,89,37,37
"ABI1",1629,1144,1000,1205,1220,5457,3576,4347,2534,3553,3529
"ANKRD26",278,143,105,157,189,411,213,232,138,306,252
"YME1L1",2191,1399,1388,1435,1734,3010,1773,2612,1484,1891,1706
"MASTL",232,157,70,78,115,282,179,250,198,349,370
"ACBD5",815,662,392,405,568,1229,760,1002,711,1100,916
"RAB18",4205,2488,2275,2344,3156,3357,2106,2757,1590,2257,2302
"MPP7",13,30,15,47,19,27,8,18,13,8,6
"WAC",2527,1341,1297,1396,1781,2785,1949,2629,1258,2145,2163
"SVIL",2905,2391,2621,2946,2903,6337,5189,6577,3329,3519,3976
"MTPAP",85,82,87,36,68,84,49,123,51,84,64
"MAP3K8",518,263,292,350,375,2100,1335,2026,1131,1204,1324
"ZNF438",148,67,83,132,159,341,186,195,80,125,172
"ZEB1",467,434,514,472,423,1239,925,1250,612,710,779
"ARHGAP12",46,79,17,26,59,233,211,205,143,256,325
"KIF5B",10841,6044,6150,6118,7691,11694,7549,9890,5258,7458,8667
"EPC1",772,400,383,515,413,1159,516,910,589,530,729
"CCDC7",136,214,24,38,27,0,0,0,8,1,8
"ITGB1",5754,3807,2950,3090,3807,2341,1693,1961,1236,1859,2013
"NRP1",3098,2229,2740,3260,3317,2134,1198,1535,531,953,969
"PARD3",8,8,4,0,0,75,39,79,37,52,76
"CUL2",675,393,462,427,613,554,403,585,245,357,399
"CREM",571,250,261,233,406,358,216,274,146,277,233
"CCNY",538,369,279,356,288,313,323,325,232,327,264
"ZNF248",52,86,30,94,73,48,31,66,24,28,41
"ZNF25",319,188,170,161,243,289,272,257,172,271,198
"ZNF33A",601,506,400,536,533,1190,875,1258,657,735,891
"ZNF37A",1043,707,712,515,823,653,638,626,411,508,537
"ZNF33B",93,51,55,39,100,403,153,263,128,200,227
"BMS1",3674,2762,2337,2753,2475,3207,2859,3339,2044,2367,2654
"CSGALNACT2",3959,2273,2229,3063,2325,1166,522,861,389,709,679
"RASGEF1A",0,13,0,1,5,0,0,0,0,5,1
"HNRNPF",5433,3077,3133,3141,3540,7107,5190,6577,3386,5649,5225
"ZNF487",5,11,13,7,7,71,43,23,40,14,29
"ZNF239",0,19,0,10,25,20,20,10,13,0,30
"ZNF485",226,0,21,3,45,0,73,0,0,89,4
"ZNF32",74,52,54,60,86,107,50,29,31,62,16
"RASSF4",1948,1585,1870,2212,2429,6870,5161,7038,2422,4359,4406
"ZNF22",129,44,67,63,73,217,155,142,57,151,181
"ALOX5",23,26,37,16,19,144,53,111,60,73,72
"ZFAND4",64,17,44,35,45,159,83,82,25,91,86
"AGAP4",212,197,125,94,174,140,107,189,124,160,110
"TIMM23",699,481,370,555,574,664,418,652,316,461,445
"NCOA4",4165,2488,2098,2116,3022,2192,1260,1752,1097,1439,1530
"AGAP14P",3,13,0,0,0,1,26,23,66,0,0
"ANXA8L1",8,5,2,0,0,1337,1265,1564,810,1495,1135
"ANXA8",0,3,2,0,5,753,934,845,501,856,482
"AGAP9",65,48,71,56,99,168,96,106,42,68,80
"FRMPD2",35,16,56,22,121,22,27,79,13,20,19
"MAPK8",241,164,96,160,205,428,229,370,250,270,283
"ARHGAP22",801,747,599,466,785,1155,968,1277,796,833,923
"WDFY4",4625,3167,2099,2641,2953,1063,1051,1191,867,1145,885
"VSTM4",388,333,361,1395,2,0,76,0,9,0,5
"DRGX",12,10,4,11,10,1,8,8,7,5,6
"ERCC6",1224,946,1056,1047,1020,401,278,271,145,269,196
"PARG",478,372,292,283,310,398,377,447,333,333,339
"TIMM23B",103,149,56,135,142,89,85,136,61,110,55
"AGAP6",430,411,243,396,396,517,388,395,285,321,354
"SGMS1",144,93,142,116,88,247,86,215,113,119,91
"PRKG1",11,19,0,5,5,5,4,16,16,24,8
"CSTF2T",1459,1009,926,736,1153,2147,1142,1668,961,1359,1466
"DKK1",1,1,0,0,0,1,1,1,2,5,12
"ZWINT",69,83,75,71,52,16,30,17,5,15,32
"IPMK",111,93,84,39,62,71,21,74,23,61,75
"CISD1",112,25,50,20,70,14,38,60,45,10,22
"UBE2D1",791,409,370,447,433,636,411,431,313,522,362
"TFAM",301,255,200,215,215,195,108,180,76,140,173
"CCDC6",120,122,89,121,126,640,529,618,277,457,520
"ANK3",60,32,77,36,83,432,252,567,172,206,181
"ARID5B",1816,886,873,905,875,531,265,428,261,468,280
"ZNF365",91,62,79,47,67,134,41,88,32,54,94
"ADO",723,308,396,455,481,126,101,57,36,118,45
"EGR2",14277,5899,8857,8623,9337,557,282,388,128,332,344
"NRBF2",873,418,443,638,579,553,353,544,223,403,360
"JMJD1C",2943,1745,1510,1416,1607,1319,755,1200,635,1033,1194
"REEP3",505,328,225,276,270,337,181,306,193,238,317
"SIRT1",346,195,186,225,264,424,244,323,139,284,300
"HERC4",356,234,228,197,305,609,495,564,323,422,466
"PBLD",112,31,62,25,53,74,74,96,60,57,97
"HNRNPH3",12936,8361,7150,7293,8286,11926,8370,10085,6586,8697,9096
"RUFY2",3322,2084,1695,2059,2062,3130,2307,2531,1723,2314,2337
"DNA2",28,29,24,47,66,10,6,35,4,0,15
"SLC25A16",43,89,51,40,79,39,41,60,50,16,37
"CCAR1",4195,3222,2871,2664,3067,4324,3285,4021,2392,3038,3418
"DDX50",655,487,322,350,569,671,633,525,374,485,659
"DDX21",3557,2665,2281,2396,2962,3384,2497,2955,1702,2564,2195
"SRGN",3216,2129,2523,3097,3474,3723,2292,2867,1246,1784,1755
"VPS26A",767,463,410,401,521,518,419,424,314,351,426
"SUPV3L1",156,140,56,126,114,120,39,90,70,81,57
"HK1",1208,755,640,633,688,1566,889,1198,705,1262,1110
"TSPAN15",14,4,12,19,34,397,308,360,197,249,278
"COL13A1",19,14,27,86,75,4,15,7,4,0,0
"AIFM2",557,279,292,263,336,1530,829,1003,845,780,899
"TYSND1",6,18,15,9,12,44,23,20,3,26,32
"SAR1A",987,523,537,641,771,3227,2367,2553,1711,1992,1815
"PPA1",156,60,56,50,104,2381,2009,2034,1336,2125,1962
"NPFFR1",8,0,2,0,0,139,126,191,100,192,106
"EIF4EBP2",462,207,235,164,162,331,159,259,171,292,235
"PALD1",3,7,0,0,0,0,0,0,11,5,12
"PRF1",0,5,0,0,0,6,14,13,19,8,73
"ADAMTS14",43,3,1,25,38,34,12,4,0,23,0
"SGPL1",600,506,482,364,478,1096,780,801,602,676,704
"UNC5B",43,7,46,10,32,1,3,7,0,0,5
"SLC29A3",446,420,350,360,328,16,4,15,6,5,17
"CDH23",561,107,315,409,364,29,11,6,16,0,6
"C10orf105",153,81,11,143,69,0,0,3,1,0,0
"PSAP",26764,17963,12344,12983,13296,6505,3946,4882,3481,5419,5826
"CHST3",7,8,8,4,0,9,1,11,11,4,6
"ASCC1",419,313,210,293,348,314,292,320,209,253,255
"ANAPC16",294,157,188,201,186,328,269,282,178,199,230
"DDIT4",1175,622,404,514,517,280,165,281,235,268,226
"DNAJB12",1609,997,842,924,970,1186,842,982,649,862,958
"MICU1",820,482,510,521,586,768,430,483,231,490,482
"MCU",105,140,89,132,105,197,103,236,56,207,120
"P4HA1",454,215,166,244,333,438,377,319,190,359,348
"NUDT13",63,94,16,7,102,7,0,23,13,4,18
"ECD",272,233,145,167,152,224,150,193,143,211,172
"FAM149B1",278,124,182,111,217,373,340,323,194,274,259
"DNAJC9",420,202,197,144,247,377,341,417,293,375,325
"MRPS16",103,147,59,55,144,71,33,66,33,46,78
"CFAP70",79,84,92,43,111,540,235,335,185,256,256
"ANXA7",3197,1875,1929,1807,2299,5559,3945,4925,2829,4006,3736
"MSS51",34,47,33,25,72,42,47,26,30,18,24
"PPP3CB",551,508,516,431,657,878,462,565,223,508,494
"USP54",132,108,88,99,182,319,188,182,112,155,159
"MYOZ1",5,9,16,16,10,24,2,4,0,9,0
"AGAP5",134,149,69,123,191,266,163,351,140,171,247
"SEC24C",1823,1093,1061,1340,1512,2699,1867,2356,1248,1607,1729
"FUT11",138,29,87,38,30,115,57,147,65,61,131
"CHCHD1",396,270,269,335,366,535,360,345,163,331,313
"ZSWIM8",1344,1021,843,1019,1097,1554,1205,1269,701,1011,1223
"NDST2",176,103,178,127,122,267,267,214,111,183,169
"CAMK2G",51,11,51,13,30,94,21,77,12,62,42
"PLAU",355,230,272,245,267,241,104,184,89,94,158
"C10orf55",92,61,98,69,58,73,15,36,17,13,44
"VCL",409,253,289,228,191,385,215,458,229,311,275
"AP3M1",517,468,291,320,509,310,247,324,176,261,268
"ADK",1174,682,677,907,897,391,270,372,157,261,256
"KAT6B",1519,1414,1085,1018,902,778,625,756,429,769,680
"SAMD8",478,292,299,238,309,386,344,314,188,292,362
"VDAC2",1228,692,672,642,990,1682,1088,1175,817,1040,1003
"ZNF503",9,3,0,8,13,216,48,136,72,69,76
"KCNMA1",6,8,1,1,21,13,0,24,6,7,7
"DLG5",40,15,43,21,7,18,48,48,25,28,33
"POLR3A",253,195,144,192,199,305,142,254,107,174,239
"RPS24",3800,3047,2086,2078,3222,2996,2518,2842,1823,2508,2574
"ZMIZ1",3090,1996,2142,2449,2577,1103,950,1271,457,848,855
"PPIF",3273,1781,1313,1734,1698,1405,845,1094,769,1029,1166
"ZCCHC24",17,1,0,16,11,2,1,10,6,0,7
"NUTM2B",10,5,0,0,0,20,36,43,22,69,36
"NUTM2E",0,0,2,0,10,10,10,55,4,10,10
"TMEM254",63,36,0,15,8,37,14,35,40,43,44
"PLAC9",56,95,61,95,118,20,13,5,13,6,3
"ANXA11",3057,2287,2105,2139,2078,1404,916,1437,807,932,1036
"TSPAN14",175,193,108,95,94,230,245,282,254,188,344
"GHITM",2840,1983,1651,1876,2431,2742,1583,2060,1274,1712,1560
"CCSER2",234,233,238,172,218,1899,1226,1579,965,1171,1063
"WAPL",2382,1763,1601,1738,1764,3383,1881,2710,1382,2439,1922
"ADIRF",7,1,0,0,0,254,253,286,169,285,197
"GLUD1",850,406,354,394,406,364,265,342,239,260,374
"NUTM2A",32,20,17,6,47,35,4,23,16,17,9
"NUTM2D",48,51,18,39,16,43,19,56,28,49,54
"MINPP1",200,122,41,124,114,147,50,183,68,109,174
"PAPSS2",83,61,41,93,53,445,228,236,151,245,270
"ATAD1",273,103,161,157,182,286,233,314,160,135,249
"KLLN",40,12,37,5,15,7,20,31,11,15,15
"PTEN",1199,943,768,763,912,2093,1495,1827,965,1602,1663
"RNLS",14,12,12,25,4,33,73,32,23,36,45
"LIPM",0,0,0,0,0,9,65,5,0,25,54
"ANKRD22",0,4,0,0,0,291,237,176,127,294,167
"STAMBPL1",6,18,0,14,19,27,35,134,41,85,62
"ACTA2",89,39,55,38,54,78,90,80,65,72,47
"FAS",178,109,153,164,279,2087,1975,1972,796,1144,1009
"LIPA",477,412,466,725,898,53,17,41,3,17,30
"IFIT2",279,41,26,118,45,29802,17354,22348,26806,31550,22245
"IFIT3",694,88,60,294,82,34576,23069,28820,28269,40952,38486
"IFIT1",78,9,7,28,5,4505,3128,3444,4412,7131,5629
"IFIT5",157,58,58,82,110,2187,1531,1687,1246,1421,1222
"PANK1",19,0,1,4,1,0,0,24,1,3,27
"KIF20B",207,138,82,86,148,128,113,193,130,122,146
"HTR7",188,157,89,118,132,30,19,9,25,20,15
"RPP30",207,132,92,108,172,135,82,187,71,156,97
"ANKRD1",1744,719,1325,1161,1445,3178,2620,3285,1775,1443,2001
"PCGF5",1038,666,626,540,739,2035,1390,1507,1029,1465,1298
"HECTD2",63,23,52,57,82,16,15,64,6,24,0
"TNKS2",1584,818,882,1014,926,1654,1314,1508,759,1284,1284
"BTAF1",2835,1659,1708,1620,1882,2670,2001,2682,1429,1936,2131
"CPEB3",17,25,9,22,7,33,27,16,21,22,31
"IDE",192,182,205,216,209,391,315,371,131,226,275
"KIF11",16,4,8,2,8,11,0,25,5,18,0
"HHEX",11,18,7,53,48,9,0,5,0,0,3
"EXOC6",28,30,24,11,20,82,78,54,45,54,92
"MYOF",1080,808,747,648,890,1618,1272,1649,816,1335,1224
"CEP55",2,4,0,0,11,13,1,14,0,13,10
"FRA10AC1",323,274,196,296,261,349,312,390,222,261,271
"SLC35G1",7,0,0,3,9,75,98,116,78,63,60
"PLCE1",26,13,14,25,3,11,9,58,22,12,29
"NOC3L",695,588,453,638,659,1122,857,1185,622,746,756
"TBC1D12",346,182,220,234,225,410,294,328,208,238,258
"HELLS",57,54,29,56,57,224,281,372,227,225,169
"PDLIM1",9,11,23,14,0,5,30,3,8,10,7
"SORBS1",223,122,257,231,405,64,45,31,20,15,15
"ALDH18A1",33,0,42,30,2,47,33,34,7,16,23
"TCTN3",192,121,94,74,141,34,12,28,21,22,34
"ENTPD1",4250,3511,1362,1711,1690,56,42,99,44,122,159
"CC2D2B",0,41,1,3,101,0,0,5,0,2,0
"CCNJ",143,63,49,59,105,191,207,230,128,233,172
"ZNF518A",858,550,479,680,704,649,390,686,333,384,429
"BLNK",94,67,38,13,24,23,7,31,25,29,52
"TM9SF3",2163,1473,1524,1193,1705,1535,991,1025,744,915,903
"PIK3AP1",1081,618,830,835,889,2720,1632,2073,909,1563,1596
"LCOR",925,697,601,619,883,1596,980,1510,790,963,1082
"ARHGAP19-SLIT1",55,39,21,21,80,10,45,28,30,17,12
"ARHGAP19",128,78,65,84,121,51,64,49,41,31,37
"FRAT2",101,32,66,40,20,24,56,18,37,11,31
"RRP12",745,569,424,478,478,717,481,569,373,495,588
"PGAM1",1129,834,728,639,830,2944,1977,2535,1485,2153,2082
"EXOSC1",261,175,171,131,226,301,242,195,118,200,241
"ZDHHC16",273,160,217,213,167,520,394,347,206,303,315
"MMS19",332,159,174,271,246,302,313,272,193,170,200
"UBTD1",79,20,77,56,48,20,12,18,0,11,5
"PI4K2A",1248,657,629,789,704,615,322,410,268,302,442
"AVPI1",105,209,28,44,82,6,0,13,12,12,0
"ZFYVE27",240,191,155,219,176,245,254,206,111,239,165
"R3HCC1L",2037,1332,1012,1084,1583,1885,1729,2085,1237,1544,1806
"PYROXD2",43,67,32,16,57,30,45,32,26,25,58
"HPS1",1432,973,799,684,943,703,440,795,459,483,689
"GOT1",229,148,112,65,157,58,21,66,37,39,65
"SLC25A28",307,219,126,150,170,729,550,621,464,628,561
"ENTPD7",390,195,263,150,272,459,205,354,195,291,254
"CUTC",196,135,139,159,213,276,181,137,83,95,185
"COX15",272,139,102,140,195,256,96,164,120,99,177
"ABCC2",138,54,20,123,53,22,74,53,46,53,35
"DNMBP",376,202,163,162,191,186,110,152,116,134,186
"ERLIN1",449,286,216,211,300,459,207,407,189,437,299
"CHUK",889,471,413,417,624,729,454,734,411,489,620
"CWF19L1",613,385,281,407,394,389,380,403,226,358,382
"BLOC1S2",925,496,700,590,686,825,612,623,344,429,554
"SCD",734,372,321,396,467,199,185,250,98,232,191
"SEC31B",72,53,49,44,36,43,13,24,17,22,23
"NDUFB8",973,716,475,542,795,412,394,385,277,326,385
"HIF1AN",1101,625,527,624,803,606,506,654,325,494,553
"PAX2",0,0,0,0,0,74,124,154,109,77,64
"SLF2",851,711,540,515,646,707,511,726,332,626,651
"MRPL43",133,78,23,32,91,70,58,23,57,74,52
"SEMA4G",22,31,15,15,43,14,38,67,16,12,69
"LZTS2",36,20,25,35,7,62,10,61,28,19,42
"SFXN3",476,401,158,268,332,121,121,94,105,132,120
"BTRC",276,296,223,245,198,210,231,291,92,268,231
"DPCD",51,52,18,17,31,28,20,49,52,36,33
"POLL",88,75,33,50,72,71,77,105,74,85,67
"FBXW4",14,73,0,27,37,30,35,46,27,67,56
"NPM3",52,38,11,27,69,28,20,1,12,6,15
"KCNIP2",34,42,10,0,21,9,0,15,15,6,27
"HPS6",215,215,97,169,219,402,191,248,168,218,294
"LDB1",631,333,242,234,313,285,174,231,151,277,285
"PPRC1",508,255,289,257,270,462,414,452,262,335,465
"NOLC1",3094,1822,1582,1799,1803,2775,2050,2403,1544,2134,2160
"GBF1",721,603,472,539,659,1449,981,1229,656,882,1104
"NFKB2",3563,1828,2236,2062,2816,9185,6258,8064,4594,5738,5247
"PSD",36,18,9,39,17,25,5,29,13,17,10
"FBXL15",20,6,0,7,18,43,6,25,16,28,15
"CUEDC2",413,232,249,285,237,714,398,640,353,429,461
"C10orf95",49,5,0,10,0,3,4,19,10,14,27
"MFSD13A",16,42,6,30,7,84,40,29,42,61,69
"ACTR1A",1657,969,722,855,917,1424,683,1209,553,1155,1223
"SUFU",802,329,277,514,400,76,22,70,59,36,33
"TRIM8",838,590,602,424,512,205,121,113,86,150,117
"ARL3",486,246,226,305,272,356,169,299,196,239,174
"SFXN2",108,171,116,0,29,47,0,137,136,63,0
"WBP1L",357,193,155,239,276,258,300,232,124,290,184
"BORCS7",183,113,124,153,131,117,59,126,40,92,62
"BORCS7-ASMT",90,69,67,94,103,65,37,83,35,42,24
"CNNM2",680,460,385,363,387,764,448,625,405,533,606
"NT5C2",1178,828,629,631,786,1474,947,1150,746,1055,1165
"PCGF6",74,94,66,53,153,72,94,20,50,64,9
"TAF5",78,48,35,75,54,94,54,41,29,45,56
"PDCD11",2320,1778,1516,1573,1396,1691,1351,2001,928,1465,1672
"CALHM2",47,65,25,28,103,15,37,24,10,20,24
"SH3PXD2A",171,147,172,244,151,160,194,324,129,142,82
"SLK",3026,1901,1759,2005,2093,5085,3364,4294,2376,3475,3526
"COL17A1",29,3,15,11,2,83,63,58,29,87,48
"SFR1",49,37,42,17,69,98,162,133,69,100,109
"CFAP43",1,0,2,3,6,1,1,1,0,3,3
"GSTO1",1128,1025,817,943,1236,726,632,496,219,514,578
"GSTO2",13,1,0,18,23,2,1,15,0,0,4
"ITPRIP",605,324,211,203,251,27,10,35,15,55,23
"CFAP58",1365,102,904,1138,935,144,41,157,0,0,78
"XPNPEP1",225,229,128,192,157,419,283,449,310,320,307
"ADD3",299,197,155,167,137,85,61,42,30,72,81
"MXI1",50,31,37,14,14,88,39,159,49,129,106
"SMNDC1",968,595,698,563,696,2964,2352,3126,1549,2246,2238
"DUSP5",1526,1144,827,1022,1095,6717,5050,6868,3514,5559,5794
"SMC3",4806,3127,2873,2901,3314,7091,5033,6115,3342,5442,5196
"RBM20",24,16,30,8,55,107,80,268,54,52,57
"PDCD4",1401,1051,897,1003,926,750,380,705,385,389,591
"BBIP1",174,138,107,77,66,93,78,54,65,85,89
"SHOC2",795,496,513,380,584,1092,535,938,424,801,722
"GPAM",62,30,21,45,34,17,16,16,12,19,14
"ACSL5",1954,1122,1605,1743,2225,3866,2326,3197,1417,2004,1726
"ZDHHC6",1376,780,953,1159,1353,1999,1259,1801,760,1163,1043
"VTI1A",662,601,346,453,536,637,491,631,331,637,539
"TCF7L2",8,17,18,5,6,189,98,76,65,119,115
"CASP7",458,403,341,447,429,3208,2030,2546,1268,2080,1904
"PLEKHS1",12,1,0,0,0,1,10,16,27,16,0
"DCLRE1A",169,232,123,52,110,75,67,44,59,112,52
"NHLRC2",462,211,245,267,392,609,500,456,242,490,325
"CCDC186",1011,619,717,665,765,1728,1455,1545,911,1044,1259
"AFAP1L2",7,0,0,0,0,4,7,10,4,26,10
"ABLIM1",1705,1252,811,662,1107,320,222,381,261,340,312
"TRUB1",43,12,9,24,20,60,16,54,13,31,59
"HSPA12A",28,35,35,45,84,51,25,44,12,14,10
"ENO4",77,34,58,0,65,200,0,220,12,158,30
"SHTN1",1170,846,886,797,1043,3015,2214,2618,1331,1894,2112
"SLC18A2",48,37,19,37,49,22,8,6,11,6,10
"PDZD8",362,205,214,205,294,171,173,108,128,90,96
"RAB11FIP2",147,122,100,150,153,139,191,122,41,147,123
"FAM204A",530,354,445,401,429,841,581,567,288,459,544
"CACUL1",427,240,166,297,245,312,313,423,225,322,310
"EIF3A",39445,25732,25525,23408,27463,36007,24430,29992,17584,24779,25018
"SFXN4",3,17,0,0,34,2,21,36,20,28,16
"PRDX3",308,164,250,194,206,268,137,177,105,143,117
"RGS10",503,397,296,266,404,235,181,191,126,198,188
