,CD1C+_1,CD1C+_2,CD1C+_3,CD1C+_4,IL7R+CCR7+_1,IL7R+CCR7+_2,IL7R+CCR7+_3,IL7R+_CCR7+_4
ZNF556,11,2,4,0,1,2,0,0
ZNF57,77,60,66,31,16,38,31,135
ZNF77,53,67,53,13,7,17,10,131
TLE6,0,6,0,0,0,0,1,0
TLE2,0,7,1,9,30,11,4,34
GNA11,24,69,69,51,31,61,12,96
GNA15,2285,3296,2207,2233,1301,1478,1500,4145
S1PR4,81,131,82,76,35,11,25,87
NCLN,253,361,272,168,165,180,141,739
CELF5,0,0,0,0,0,0,0,2
NFIC,356,301,325,276,367,328,262,1059
SMIM24,7,2,1,0,10,22,18,33
DOHH,31,62,74,42,39,19,17,65
FZR1,280,381,367,258,397,359,250,1329
MFSD12,946,1569,1344,1252,1412,1429,866,2447
C19orf71,39,40,49,62,33,29,14,75
HMG20B,1210,1550,1465,1544,2112,1616,1089,2474
GIPC3,0,5,4,0,30,12,4,55
TBXA2R,0,0,0,0,0,2,0,0
CACTIN,742,921,716,740,775,696,552,2063
PIP5K1C,642,467,603,492,295,342,176,862
TJP3,8,7,9,5,29,26,28,117
APBA3,106,130,122,95,145,173,102,470
MRPL54,85,164,65,88,114,59,121,291
RAX2,0,0,1,0,0,0,0,0
MATK,37,24,54,13,83,49,28,427
ZFR2,0,16,0,7,0,0,0,15
ATCAY,0,0,0,0,0,1,0,0
NMRK2,0,0,0,0,0,0,0,0
DAPK3,296,326,273,250,229,228,198,697
EEF2,36439,51477,50184,39092,43156,31359,25744,89655
PIAS4,77,115,107,94,155,116,91,426
ZBTB7A,570,694,641,384,435,485,319,1549
MAP2K2,634,776,623,577,583,448,397,1333
CREB3L3,9,0,2,3,0,9,10,26
SIRT6,167,221,122,86,120,67,135,454
ANKRD24,149,135,126,145,67,57,43,138
EBI3,221,126,131,113,703,814,1175,2033
SHD,0,6,0,0,0,3,1,14
TMIGD2,0,4,0,0,8,24,11,51
FSD1,0,2,0,4,0,19,0,99
STAP2,4,10,7,6,7,13,11,39
MPND,292,404,260,156,200,94,146,437
SH3GL1,1107,1808,1225,1091,645,789,550,2380
CHAF1A,989,1896,1547,1225,1966,2205,1207,4748
UBXN6,1088,1758,1451,1184,1165,1069,725,2817
PLIN4,47,31,36,27,8,10,16,15
PLIN5,81,42,43,89,13,9,18,26
LRG1,209,206,190,206,50,28,47,97
SEMA6B,703,897,690,589,258,110,162,693
TNFAIP8L1,179,171,139,110,91,83,56,257
MYDGF,1086,1569,1162,1084,1101,1031,939,2548
DPP9,1305,1211,1522,1173,2984,2635,2016,4997
FEM1A,132,172,145,78,59,97,72,344
TICAM1,371,322,271,367,263,285,263,693
PLIN3,525,659,548,357,365,333,307,1112
ARRDC5,35,44,57,10,1,17,1,54
UHRF1,55,60,72,46,83,103,27,169
KDM4B,753,1047,1160,886,1307,1220,746,2436
PTPRS,20,28,10,19,177,177,57,808
TINCR,0,0,0,0,3,0,3,8
SAFB2,7149,9462,8778,6829,7901,7456,5352,23302
SAFB,6129,9482,7987,6169,6741,5997,4461,18260
RPL36,2068,2527,1539,2295,1902,1398,1613,3462
HSD11B1L,2,18,16,12,22,4,0,17
LONP1,1052,1322,1110,885,794,761,682,2566
CATSPERD,0,4,1,1,0,1,0,1
PRR22,0,5,5,4,10,6,4,4
DUS3L,441,626,463,338,254,261,216,1004
NRTN,6,0,0,0,0,0,0,6
FUT6,0,0,0,0,0,4,0,3
FUT3,0,0,1,0,0,0,0,1
FUT5,0,0,0,2,0,0,0,0
NDUFA11,98,131,124,134,107,105,80,224
VMAC,37,54,79,44,67,30,25,122
CAPS,118,138,119,87,61,53,39,179
RANBP3,606,777,735,535,644,683,444,1894
RFX2,66,39,59,23,55,34,32,221
ACSBG2,0,3,3,3,0,0,0,8
MLLT1,238,257,264,205,202,209,147,612
ACER1,0,0,0,0,0,0,0,0
CLPP,143,206,180,148,141,103,60,305
ALKBH7,102,92,128,81,92,88,44,139
PSPN,0,6,2,5,13,3,9,8
GTF2F1,4252,7609,5305,4141,4016,3383,2851,12419
KHSRP,1720,2124,1982,1461,1338,1376,1100,4366
SLC25A41,0,0,0,0,0,0,0,0
SLC25A23,0,10,14,4,58,17,21,122
CRB3,0,2,0,0,0,0,2,2
DENND1C,449,661,597,257,219,107,118,987
TUBB4A,5,3,0,12,8,9,1,10
TNFSF9,280,253,235,107,265,308,308,1182
CD70,37,13,3,28,41,90,91,147
TNFSF14,248,147,172,63,29,37,48,357
C3,41,22,28,19,17,27,6,28
GPR108,360,421,316,364,248,150,206,618
TRIP10,2449,2338,1509,2176,7683,6946,8635,21392
SH2D3A,18,27,15,12,53,116,127,369
VAV1,1366,2871,2218,1343,1102,506,527,3031
ADGRE1,62,108,88,51,55,9,39,90
ZNF557,81,80,76,61,47,25,25,95
INSR,975,1690,998,1414,977,533,398,1532
ARHGEF18,567,900,746,526,611,399,288,1958
PEX11G,7,6,3,8,0,3,9,8
ZNF358,70,59,86,104,50,40,35,81
MCOLN1,346,292,361,194,165,142,84,405
PNPLA6,1849,1914,1907,1388,933,742,634,2992
CAMSAP3,0,0,2,0,0,7,1,10
XAB2,497,810,733,648,484,409,307,1155
PET100,398,593,268,427,410,362,417,971
PCP2,53,24,26,6,12,9,9,45
STXBP2,898,1336,916,929,789,616,723,1752
RETN,26,29,0,13,10,4,18,4
