,CD1C+_1,CD1C+_2,CD1C+_3,CD1C+_4,IL7R+CCR7+_1,IL7R+CCR7+_2,IL7R+CCR7+_3,IL7R+_CCR7+_4
RAB6B,21,0,13,12,0,44,3,49
C3orf36,0,0,2,0,9,5,1,14
SLCO2A1,0,0,37,0,6,10,42,0
RYK,117,134,307,201,539,348,157,528
AMOTL2,25,24,18,0,71,46,11,317
ANAPC13,172,240,229,173,70,94,48,301
CEP63,1475,1614,2066,1267,925,1082,535,2820
EPHB1,0,0,0,0,45,51,5,85
KY,0,0,0,0,0,0,0,4
PPP2R3A,28,11,18,22,17,43,28,57
MSL2,683,912,1191,596,656,652,325,1636
PCCB,217,202,171,86,79,99,103,456
STAG1,640,1048,1091,828,896,780,555,2324
SLC35G2,11,7,10,2,5,8,0,19
NCK1,310,204,394,341,407,320,172,485
IL20RB,27,39,84,69,111,89,41,123
CLDN18,4,4,8,0,5,0,0,14
DZIP1L,350,168,359,160,20,38,18,116
A4GNT,0,0,1,0,2,0,0,0
DBR1,140,139,127,79,72,80,38,415
ARMC8,567,705,654,501,307,367,242,1264
NME9,32,65,113,59,91,82,22,264
MRAS,371,196,388,232,310,311,160,651
ESYT3,16,0,4,0,12,4,0,0
CEP70,46,22,31,43,58,97,37,308
FAIM,57,85,98,107,106,81,59,195
PIK3CB,323,270,530,275,536,437,206,1124
FOXL2,2,0,0,0,0,0,0,0
FOXL2NB,0,0,0,4,0,0,0,0
MRPS22,345,592,531,259,284,247,161,1009
COPB2,1297,1673,1610,1105,1104,1086,716,3198
RBP2,0,0,0,6,2,0,0,4
RBP1,11,14,7,0,10,10,15,61
NMNAT3,0,9,17,17,0,8,0,7
CLSTN2,2,1,0,0,0,0,0,6
TRIM42,0,0,2,0,0,0,0,0
SLC25A36,583,688,955,485,622,551,260,1648
SPSB4,0,0,0,6,45,6,0,0
PXYLP1,14,9,18,21,62,46,12,72
ZBTB38,273,227,388,234,876,360,230,1216
RASA2,359,451,569,229,181,112,85,817
RNF7,186,212,131,164,93,107,112,280
GRK7,0,0,0,0,0,0,0,0
ATP1B3,1015,1535,1393,830,834,754,730,2619
TFDP2,215,215,224,134,114,112,74,392
GK5,237,194,181,148,102,87,66,235
XRN1,769,804,1170,732,846,1034,517,2718
ATR,450,408,752,403,391,386,205,1309
PLS1,15,7,18,4,11,6,4,57
TRPC1,0,5,3,0,7,1,3,10
PCOLCE2,0,2,0,0,0,0,0,0
U2SURP,2690,3189,3724,1909,2054,2332,1374,8106
CHST2,460,262,273,157,363,504,455,2116
SLC9A9,192,81,173,184,381,352,144,614
PLOD2,26,40,13,24,41,24,14,110
PLSCR4,0,2,52,0,12,4,42,0
PLSCR2,0,0,0,0,0,0,0,1
PLSCR1,1295,1840,1969,1118,709,326,312,1894
ZIC1,0,0,0,0,0,0,0,0
AGTR1,0,0,0,0,0,0,4,0
CPB1,0,0,20,0,0,12,12,2
CPA3,0,0,0,0,0,2,0,0
GYG1,135,161,169,64,73,52,54,427
HLTF,105,94,175,60,24,63,18,207
HPS3,918,779,1039,492,232,190,112,1002
CP,74,75,98,70,26,22,20,93
TM4SF18,0,0,2,0,0,6,1,9
TM4SF1,8,6,15,15,194,139,16,106
TM4SF4,1,0,0,0,2,0,0,0
WWTR1,7,8,18,15,124,95,12,139
COMMD2,197,232,313,187,367,249,156,546
ANKUB1,17,49,53,36,24,17,13,71
RNF13,223,257,427,162,154,127,57,349
PFN2,14,21,8,9,22,13,19,60
TSC22D2,783,615,793,662,727,903,786,1928
SERP1,2517,3640,2888,2292,1867,1292,1298,3990
EIF2A,1321,1674,1749,1001,753,691,524,2524
ERICH6,0,6,0,0,7,3,4,30
SIAH2,239,229,217,183,717,715,582,1706
CLRN1,0,0,2,0,0,0,0,0
MED12L,37,53,41,32,64,97,30,299
GPR171,32,111,92,27,0,3,12,94
P2RY14,534,760,841,226,111,97,49,557
GPR87,0,0,4,0,0,0,0,15
P2RY13,329,399,475,199,47,36,48,236
P2RY12,0,14,20,8,0,8,1,7
IGSF10,15,11,31,19,43,169,23,195
AADAC,0,0,0,0,0,0,0,0
SUCNR1,5,5,7,9,13,0,10,32
MBNL1,3475,2943,5318,2769,2971,2206,1096,6886
P2RY1,120,185,142,38,72,23,25,378
RAP2B,1682,1226,1648,1940,2071,2881,1870,3795
ARHGEF26,6,0,3,9,3,7,2,0
DHX36,827,857,1001,700,576,651,408,2168
GPR149,0,0,0,0,0,0,0,0
MME,18,14,4,0,22,14,17,138
PLCH1,0,0,1,0,0,0,0,1
C3orf33,8,14,10,6,0,3,2,17
SLC33A1,65,99,120,81,130,113,41,294
GMPS,408,357,434,226,158,230,150,628
KCNAB1,5,13,16,16,4,4,1,10
SSR3,637,907,977,671,466,588,354,1394
TIPARP,3685,3773,5987,3562,1605,1213,1061,4501
LEKR1,62,72,76,34,35,24,13,105
CCNL1,19203,19625,31554,17515,12891,13742,8232,38987
VEPH1,8,5,8,6,22,13,7,21
PTX3,719,380,268,600,266,302,226,402
SHOX2,0,4,0,0,3,0,0,6
RSRC1,434,498,617,367,417,359,183,1105
MLF1,71,23,44,57,57,93,71,228
GFM1,347,468,519,263,326,244,141,761
LXN,73,88,87,50,76,58,26,180
RARRES1,0,0,0,0,0,2,0,12
MFSD1,737,658,830,450,251,227,153,640
IQCJ,0,0,0,0,0,0,0,0
IQCJ-SCHIP1,55,54,23,74,14,7,12,20
SCHIP1,65,59,30,80,24,9,20,45
IL12A,5,10,2,2,5,0,10,15
C3orf80,0,0,0,0,4,1,0,6
IFT80,202,225,305,224,245,224,113,659
SMC4,1815,1419,2390,1866,2683,2446,1063,4513
TRIM59,82,66,102,29,89,99,28,227
KPNA4,1041,1025,1130,909,951,992,665,2575
ARL14,4,0,0,0,2,0,0,0
PPM1L,106,150,165,53,100,63,28,357
B3GALNT1,20,14,14,9,5,3,3,16
NMD3,815,753,1048,648,399,476,259,1465
SPTSSB,0,0,0,0,0,6,0,8
BCHE,2,0,8,0,0,4,1,0
SERPINI2,4,5,12,4,5,20,3,38
WDR49,41,22,71,39,48,86,18,114
PDCD10,822,992,1043,833,887,784,496,1821
SERPINI1,20,3,4,8,0,21,8,30
GOLIM4,3218,3913,4641,2834,3462,2902,1311,8950
MECOM,19,2,31,0,40,20,46,0
ACTRT3,21,17,21,0,8,0,0,30
MYNN,194,229,198,122,142,126,78,508
LRRC34,0,13,7,12,4,0,4,7
LRRIQ4,0,0,2,0,0,0,0,0
LRRC31,0,0,0,0,0,0,0,0
SAMD7,0,0,0,0,0,0,0,0
SEC62,1657,1848,1725,1128,1208,1198,814,4392
GPR160,249,337,236,110,244,98,114,850
PHC3,926,1011,1314,789,1098,1336,502,3604
PRKCI,148,181,249,141,174,190,55,439
SKIL,858,987,1181,864,907,1616,748,3272
CLDN11,4,2,0,0,0,4,0,1
SLC7A14,0,0,0,0,2,0,0,0
RPL22L1,445,801,490,453,273,209,251,800
EIF5A2,12,24,7,5,17,11,14,125
SLC2A2,0,0,0,0,2,0,0,0
TNIK,20,26,21,0,216,109,18,1217
PLD1,72,4,30,56,279,375,33,288
TMEM212,0,0,0,0,0,0,0,0
FNDC3B,481,461,584,440,761,783,550,2093
GHSR,0,0,0,0,0,0,0,0
TNFSF10,842,580,490,299,74,92,131,408
NCEH1,120,35,76,42,24,38,8,90
ECT2,58,60,99,83,113,68,53,166
NLGN1,0,2,0,0,0,0,8,5
NAALADL2,0,2,0,0,0,2,0,2
TBL1XR1,462,556,746,351,687,887,443,2330
ZMAT3,73,116,146,109,254,122,69,410
PIK3CA,391,291,528,380,1112,714,438,1580
KCNMB3,121,194,225,152,288,124,79,433
ZNF639,67,91,125,51,142,81,56,339
MFN1,436,447,589,361,376,467,234,1302
GNB4,246,372,477,330,297,276,135,731
ACTL6A,379,420,434,270,263,276,157,891
MRPL47,352,469,375,298,137,207,169,696
NDUFB5,262,399,312,225,186,110,112,425
USP13,156,183,204,145,122,44,30,252
PEX5L,0,2,1,3,9,5,2,7
TTC14,737,1029,1122,787,736,887,491,2102
CCDC39,141,229,261,176,221,199,115,497
FXR1,3719,4257,4631,3150,4708,4350,2898,12091
DNAJC19,76,103,74,60,58,37,52,183
SOX2,0,0,0,2,4,0,0,12
ATP11B,824,966,1251,822,764,906,450,2780
DCUN1D1,494,701,779,556,649,624,363,1684
MCCC1,620,849,716,363,410,238,232,1210
LAMP3,2832,1167,3080,1592,29451,39281,18130,108453
MCF2L2,1306,1327,1628,1039,435,254,427,2092
B3GNT5,2489,2769,3436,1840,849,499,842,4237
KLHL6,2058,2896,3390,1881,2921,2827,1006,6938
KLHL24,326,362,539,335,440,459,169,930
YEATS2,667,954,1296,771,1121,846,379,2511
MAP6D1,0,2,4,0,0,0,3,11
PARL,321,452,377,274,188,156,144,444
ABCC5,243,177,405,211,144,267,90,542
EIF2B5,681,850,811,511,571,547,403,1909
DVL3,782,1118,1109,1044,1032,816,681,2219
AP2M1,2894,3828,3110,2654,2450,1935,1703,6160
ABCF3,407,667,569,399,493,371,264,1294
VWA5B2,0,0,0,0,0,0,0,2
ALG3,82,115,107,49,20,19,21,115
ECE2,18,10,7,21,3,0,0,0
CAMK2N2,0,2,0,4,0,0,0,1
PSMD2,2089,3405,3074,2309,2622,2290,1524,6974
EIF4G1,5526,7548,7239,5438,4925,5384,3755,16010
FAM131A,238,263,282,174,141,188,126,457
CLCN2,18,12,10,5,3,13,7,46
POLR2H,164,193,158,90,87,61,44,267
THPO,0,0,0,0,2,0,0,0
CHRD,10,5,5,0,0,0,0,4
EPHB3,136,21,73,69,111,207,107,176
MAGEF1,325,191,274,198,239,183,143,594
VPS8,374,377,551,402,520,425,247,1165
C3orf70,0,0,4,2,0,2,2,0
EHHADH,29,19,16,21,22,15,7,21
MAP3K13,354,256,283,322,439,399,379,578
TMEM41A,62,58,80,79,113,91,61,220
LIPH,3,0,2,0,5,0,4,33
SENP2,552,522,629,439,353,419,218,1154
IGF2BP2,861,1017,833,812,745,553,804,2474
TRA2B,14812,18583,21315,10670,10056,10123,6705,36372
ETV5,67,34,77,52,22,23,18,76
DGKG,62,28,87,60,14,25,17,56
CRYGS,9,8,7,7,12,8,8,11
TBCCD1,54,71,71,37,28,32,24,102
DNAJB11,4682,5986,5258,3528,2837,3001,2338,10249
AHSG,0,0,0,0,0,0,0,0
HRG,0,0,0,0,0,0,0,0
KNG1,2,0,0,0,2,0,0,4
EIF4A2,11874,13726,15790,9411,11084,11751,7422,35106
RFC4,60,76,108,46,30,77,33,223
ADIPOQ,0,0,2,0,0,0,0,0
ST6GAL1,627,743,857,448,348,278,107,1333
RPL39L,12,10,5,14,6,6,8,9
MASP1,0,0,0,0,0,0,12,0
RTP4,0,4,9,11,0,8,3,9
SST,0,0,0,0,0,0,0,0
RTP2,0,0,0,0,0,4,0,0
BCL6,5036,4373,5407,3169,3170,2948,2353,12246
LPP,807,808,1287,849,1223,1081,564,3138
TPRG1,0,2,10,9,0,5,10,63
TP63,5,0,7,10,112,91,16,74
P3H2,49,32,46,24,19,39,6,86
CLDN1,1,0,3,0,2,0,0,1
CLDN16,0,0,0,0,0,2,0,0
IL1RAP,295,316,315,113,86,59,78,470
GMNC,0,0,0,0,0,0,0,6
OSTN,0,0,0,0,0,0,0,1
UTS2B,176,268,173,161,223,153,142,561
CCDC50,1410,2235,1614,1313,2439,1763,1508,7539
FGF12,0,0,34,0,18,2,20,0
MB21D2,165,160,134,66,165,80,140,308
ATP13A5,0,6,0,0,0,0,0,0
ATP13A4,14,8,20,5,6,4,0,20
OPA1,687,743,1022,703,565,632,351,1633
HES1,440,254,115,235,209,197,453,336
LRRC15,0,0,0,0,0,0,0,0
GP5,0,0,0,0,0,0,0,0
ATP13A3,796,701,1006,427,423,292,269,1483
TMEM44,14,18,12,21,20,18,11,34
LSG1,531,776,787,418,337,304,217,1425
FAM43A,366,236,188,310,166,181,102,427
XXYLT1,59,156,167,120,45,73,34,143
ACAP2,771,963,1278,853,604,608,314,1668
PPP1R2,1359,1597,1553,1058,2125,1854,1515,5388
APOD,2,0,0,0,0,22,0,20
MUC20,69,57,44,85,49,54,41,101
MUC4,11,0,6,4,0,0,0,16
TNK2,1079,1413,1317,1241,528,628,413,1879
TFRC,1095,652,1210,880,1297,2406,962,3802
ZDHHC19,0,0,0,0,2,2,0,0
SLC51A,54,84,102,32,61,61,21,168
PCYT1A,811,1128,1147,675,716,638,362,1895
TM4SF19,1,1,0,0,4,0,2,3
UBXN7,494,566,790,423,532,691,250,1890
RNF168,863,1025,1059,833,1016,882,621,2717
SMCO1,0,0,0,3,2,0,0,4
WDR53,76,74,77,22,40,69,31,153
FBXO45,95,131,146,57,99,137,58,400
NRROS,340,534,650,312,214,242,138,671
PIGX,174,236,231,185,158,182,138,391
CEP19,50,58,41,61,101,85,45,116
PAK2,1721,2000,2679,1761,2200,1422,892,4230
SENP5,175,247,259,207,227,203,156,600
NCBP2,550,705,797,610,757,788,485,2020
PIGZ,6,40,17,46,21,15,20,46
MELTF,128,68,98,104,261,354,225,555
DLG1,495,781,872,546,508,411,265,1701
BDH1,23,42,35,14,25,9,8,95
RUBCN,694,1398,980,707,2221,2794,2440,8334
FYTTD1,885,1693,1250,921,1988,2584,2171,6374
LRCH3,303,523,570,449,1251,1451,733,2730
IQCG,155,232,253,170,614,371,237,777
RPL35A,1333,1858,1244,1361,1525,1082,1309,3374
LMLN,12,36,55,40,185,129,53,173
ZNF595,43,36,63,49,56,45,10,69
ZNF718,124,35,65,42,1,16,14,63
ZNF732,0,2,0,0,0,0,0,0
ZNF141,104,116,215,125,142,155,61,334
ZNF721,183,253,323,234,391,289,169,695
PIGG,380,558,579,459,562,540,361,1216
PDE6B,0,27,23,38,53,30,19,26
MYL5,445,458,334,336,315,277,255,833
PCGF3,750,824,1153,788,930,934,531,1836
CPLX1,0,0,4,0,8,12,2,32
GAK,1261,2062,1900,1417,1837,1906,1241,4326
TMEM175,127,178,135,81,76,85,79,336
DGKQ,80,137,106,72,102,80,82,302
SLC26A1,75,92,95,51,22,38,19,146
IDUA,152,165,201,113,74,63,46,163
FGFRL1,85,161,183,65,92,82,39,352
RNF212,10,9,13,0,0,1,0,4
SPON2,57,51,30,45,45,50,68,180
CTBP1,841,1402,1219,886,901,754,548,2183
MAEA,397,666,555,497,652,700,450,1806
UVSSA,329,566,608,491,446,423,269,1029
FAM53A,0,12,9,13,4,13,0,20
SLBP,695,812,869,355,495,520,283,1876
TMEM129,101,52,56,74,13,19,18,29
TACC3,1125,1567,1632,660,513,292,235,1847
FGFR3,2,0,0,0,7,4,1,0
LETM1,671,1175,971,742,796,778,526,2392
NELFA,220,254,183,151,172,200,125,488
C4orf48,11,24,17,4,5,11,11,50
NAT8L,0,3,1,0,0,3,1,6
POLN,42,29,46,42,21,60,31,129
HAUS3,597,514,774,398,420,866,338,2058
MXD4,523,829,677,625,729,914,457,2117
ZFYVE28,79,74,57,31,71,23,14,315
CFAP99,1,0,0,0,0,2,0,0
RNF4,746,1130,996,662,607,515,386,2064
FAM193A,970,1240,1196,812,994,945,751,3554
TNIP2,3556,3220,3269,3540,7704,8585,7264,17305
SH3BP2,3208,3597,3925,3003,2357,1950,1544,6177
ADD1,2235,2877,2963,2105,2809,2874,1843,8405
MFSD10,114,120,82,111,232,131,116,285
NOP14,2092,3323,3229,1994,2309,1736,1153,7340
GRK4,6,17,16,4,8,10,7,46
HTT,1309,1359,1760,1161,929,995,598,3488
MSANTD1,5,16,15,8,10,0,0,12
RGS12,576,567,565,398,306,247,171,1022
HGFAC,0,0,2,0,0,0,0,0
DOK7,3,0,0,0,9,0,0,45
LRPAP1,1475,2031,1435,1302,1105,874,815,2780
ADRA2C,0,0,0,0,0,0,6,0
TMEM128,28,28,12,20,20,15,9,32
LYAR,1040,875,916,968,840,695,579,1967
ZBTB49,91,82,95,141,129,104,58,227
NSG1,7,8,12,3,3,12,5,20
STX18,1504,2739,1840,1407,1248,972,727,3447
MSX1,4,3,0,0,4,6,4,0
CYTL1,0,0,0,0,0,0,0,0
STK32B,0,0,0,0,6,2,12,0
EVC2,15,17,12,20,24,16,10,88
EVC,15,8,23,32,16,16,0,38
CRMP1,11,3,8,2,6,5,0,36
C4orf50,0,0,0,8,0,4,6,26
JAKMIP1,0,2,0,0,0,28,12,114
WFS1,10,11,10,0,92,36,2,130
PPP2R2C,0,0,2,4,0,0,0,2
MAN2B2,421,551,639,277,445,340,217,1342
MRFAP1,3623,4791,3591,3285,3252,2601,1941,8260
S100P,2,0,0,0,0,0,0,2
MRFAP1L1,507,1006,824,502,856,667,368,2469
BLOC1S4,25,52,33,25,20,26,19,131
KIAA0232,570,677,718,405,471,546,316,1949
TBC1D14,1672,2419,2809,1326,1008,702,476,3482
CCDC96,123,179,78,147,62,48,86,211
TADA2B,365,596,497,304,318,264,224,1431
GRPEL1,1302,1410,1184,874,772,475,503,2310
SORCS2,5,0,0,0,2,0,5,13
PSAPL1,0,0,0,0,0,0,0,0
AFAP1,8,6,4,0,14,11,0,61
ABLIM2,1,9,9,0,83,12,3,86
SH3TC1,1592,2358,2293,1772,861,1084,538,2857
HTRA3,0,14,0,0,6,6,0,2
ACOX3,38,61,49,30,23,28,20,122
TRMT44,122,136,183,94,91,64,40,197
GPR78,2,0,0,0,0,0,0,0
CPZ,2,0,0,0,0,0,0,0
SLC2A9,140,127,130,80,41,37,29,95
DRD5,0,2,4,0,0,0,0,0
WDR1,4279,6515,5671,4465,6882,6110,4393,17386
ZNF518B,143,192,287,206,299,221,118,477
CLNK,11,21,30,27,75,8,20,169
HS3ST1,4,5,9,6,0,4,0,10
RAB28,73,64,62,69,29,49,36,114
NKX3-2,0,0,0,0,2,0,0,0
BOD1L1,5505,5319,8620,5072,5153,5061,2390,18861
CPEB2,263,110,266,229,323,615,300,1012
C1QTNF7,0,0,0,0,2,0,0,2
CC2D2A,21,34,45,17,17,10,4,26
FBXL5,512,744,768,431,334,304,232,1127
FAM200B,119,145,62,91,52,43,62,98
BST1,15,0,5,4,0,0,10,12
CD38,53,55,119,69,108,115,19,273
FGFBP1,0,0,0,0,0,0,0,2
FGFBP2,0,0,8,16,0,0,6,96
PROM1,0,0,3,0,0,0,1,6
TAPT1,170,176,201,125,106,108,84,413
LDB2,6,4,17,0,61,56,7,40
QDPR,160,148,146,64,55,72,37,200
LAP3,3047,3310,3857,3251,2993,3012,2259,6825
MED28,434,581,556,393,576,594,366,1497
FAM184B,32,30,48,31,34,61,27,110
DCAF16,144,178,205,125,110,153,107,391
NCAPG,30,44,49,31,1,35,19,90
LCORL,70,92,129,84,57,68,39,245
SLIT2,5,0,6,0,30,32,2,83
PACRGL,41,50,65,16,40,25,16,181
KCNIP4,0,2,7,2,0,0,0,12
ADGRA3,85,85,140,39,51,42,15,242
GBA3,0,0,2,0,0,5,2,10
PPARGC1A,0,1,0,0,3,4,2,8
DHX15,1928,2033,2453,1697,1502,1659,1008,4401
SOD3,6,0,0,0,0,0,0,0
CCDC149,159,184,55,108,38,44,41,112
LGI2,0,0,0,0,0,0,0,0
SEPSECS,114,84,123,135,118,155,71,282
PI4K2B,210,309,297,218,388,243,235,636
ZCCHC4,37,71,89,65,81,42,23,139
ANAPC4,390,452,459,386,281,293,216,629
SLC34A2,0,0,2,0,0,8,0,0
SEL1L3,1089,1576,1340,1118,1786,2826,1347,6076
SMIM20,78,161,107,112,118,94,85,241
RBPJ,1530,2029,2389,1245,804,606,486,2590
CCKAR,0,0,0,4,4,0,0,0
TBC1D19,23,23,17,1,0,4,4,13
STIM2,1758,1972,2297,1424,1336,1195,714,4239
PCDH7,5,13,17,39,87,73,8,86
ARAP2,803,474,1023,645,4953,5897,2816,14570
DTHD1,0,0,3,0,12,1,2,56
NWD2,0,0,0,0,0,0,0,0
C4orf19,11,13,13,13,11,25,11,35
RELL1,165,258,196,108,229,331,163,681
PGM2,171,123,208,71,68,57,28,209
TBC1D1,1124,1517,1638,1187,1497,1259,769,2968
PTTG2,0,2,8,0,0,2,0,0
KLF3,612,974,811,608,948,601,488,2237
TLR10,98,84,119,59,24,16,11,154
TLR1,374,310,535,241,126,103,51,366
TLR6,203,382,323,177,60,75,56,320
FAM114A1,65,79,67,43,72,35,24,172
TMEM156,197,243,301,94,53,26,21,242
KLHL5,901,1009,1361,752,563,466,366,1782
WDR19,103,80,98,83,42,82,25,208
RFC1,542,614,799,374,367,531,194,1656
KLB,0,10,10,1,6,4,0,19
RPL9,4091,5316,4213,3931,3671,2721,2988,8496
LIAS,49,86,88,53,80,40,20,163
UGDH,75,98,108,47,68,82,22,277
SMIM14,269,282,329,140,528,347,286,1613
UBE2K,824,827,714,624,619,636,487,2078
PDS5A,1451,1558,2319,1253,1416,1626,795,4480
N4BP2,855,829,1582,948,984,1302,512,3314
RHOH,317,275,235,170,362,353,489,1275
CHRNA9,0,0,0,0,0,10,0,0
RBM47,785,725,876,576,538,522,468,1437
NSUN7,48,39,68,39,58,45,39,59
APBB2,41,11,26,0,59,78,17,168
UCHL1,10,8,0,0,8,8,2,0
LIMCH1,48,76,125,206,3631,2768,189,4180
PHOX2B,0,0,0,0,0,1,0,0
TMEM33,140,84,124,83,58,75,46,169
DCAF4L1,22,11,6,13,8,19,0,48
SLC30A9,326,464,500,378,428,467,286,1209
BEND4,14,24,19,21,29,24,18,76
SHISA3,0,12,19,0,20,0,0,0
ATP8A1,213,118,281,174,703,733,207,1204
YIPF7,1,10,10,3,1,6,2,23
GUF1,96,159,181,76,64,79,36,302
GNPDA2,74,78,68,35,32,38,18,188
GABRA2,0,0,0,0,0,2,2,0
COX7B2,0,0,0,0,0,0,0,0
GABRA4,0,0,0,0,0,0,0,2
GABRB1,0,0,3,0,0,0,0,0
COMMD8,375,290,369,217,99,84,84,377
ATP10D,383,354,735,320,166,174,41,463
CORIN,0,0,1,0,3,0,0,2
NFXL1,42,126,184,84,71,43,26,143
NIPAL1,6,17,14,18,48,26,28,16
CNGA1,0,1,1,0,42,24,15,75
TXK,11,8,19,10,73,74,19,108
TEC,430,251,477,227,178,197,99,463
SLAIN2,433,469,513,319,303,377,281,917
SLC10A4,0,0,0,4,0,0,0,6
FRYL,922,799,1491,880,874,1138,406,2852
OCIAD1,562,690,661,442,364,317,245,962
OCIAD2,75,94,45,48,32,42,38,203
DCUN1D4,68,90,119,49,83,92,35,395
LRRC66,0,0,0,0,0,0,0,0
SGCB,13,8,1,10,9,21,8,17
SPATA18,0,0,0,0,2,0,2,2
USP46,91,62,80,73,98,82,67,254
ERVMER34-1,0,0,0,0,0,0,0,0
RASL11B,6,13,20,0,0,0,0,28
SCFD2,66,80,68,49,7,25,18,114
FIP1L1,1315,1974,1621,1079,1401,1209,943,4066
LNX1,216,314,296,195,263,225,161,619
CHIC2,457,622,621,549,709,425,271,1044
GSX2,0,0,0,0,0,0,0,0
PDGFRA,6,16,0,0,16,16,23,63
KIT,254,247,813,314,772,483,39,1245
KDR,3,5,1,0,33,21,5,86
SRD5A3,29,45,49,34,37,36,13,68
TMEM165,448,639,699,432,400,387,217,946
CLOCK,295,267,449,268,267,242,114,494
PDCL2,0,4,2,0,0,0,0,6
NMU,0,0,0,0,0,0,0,0
EXOC1,588,457,693,482,269,413,240,951
CEP135,587,558,817,605,2564,2146,1473,4866
AASDH,21,52,55,37,37,27,16,90
PPAT,55,34,91,17,24,25,2,121
PAICS,60,99,123,60,82,104,32,323
SRP72,1778,2173,2333,1502,1213,1260,786,4426
ARL9,0,2,0,0,0,0,0,0
THEGL,0,0,0,0,0,0,0,4
HOPX,4,3,7,0,39,52,54,197
SPINK2,0,0,0,6,14,4,0,12
REST,561,496,686,433,1095,910,458,2560
NOA1,174,170,233,146,156,169,60,318
POLR2B,1275,1409,1752,1327,1589,1911,897,4070
IGFBP7,175,205,199,290,177,119,49,207
ADGRL3,2,2,1,0,2,0,0,4
TECRL,0,0,0,0,0,0,0,0
EPHA5,0,0,0,0,0,0,0,0
CENPC,491,525,710,398,426,510,213,1597
STAP1,19,28,39,18,48,32,15,144
UBA6,377,363,548,317,341,476,235,1334
GNRHR,0,2,6,0,0,2,0,0
TMPRSS11D,0,0,0,0,0,0,0,0
TMPRSS11A,0,0,0,0,0,0,0,0
YTHDC1,5416,6371,6504,4885,4259,4880,3153,14804
UGT2B17,0,0,0,0,0,0,0,0
UGT2B15,0,0,0,0,0,0,0,0
UGT2B10,0,0,0,0,0,0,0,0
UGT2B11,0,0,0,0,0,0,0,0
UGT2B4,0,0,0,0,0,0,0,0
UGT2A1,0,0,0,0,0,0,0,0
SULT1B1,210,153,245,113,23,16,22,124
SULT1E1,0,0,0,0,0,2,0,4
CSN1S1,0,0,0,0,0,0,0,1
CSN2,0,2,0,0,0,0,0,0
STATH,0,0,0,0,0,0,0,0
PRR27,0,0,0,0,0,0,0,0
ODAM,0,0,0,0,0,0,0,0
AMTN,0,0,0,0,0,0,0,0
ENAM,12,27,4,5,50,51,11,195
JCHAIN,32,81,10,39,150,190,23,448
UTP3,1281,2169,1768,943,1153,851,550,3696
RUFY3,4290,4356,5883,4266,7257,6635,4043,15184
GRSF1,620,672,987,842,4152,3170,1590,4095
MOB1B,572,1130,1515,1057,2769,2411,1182,3544
DCK,750,1465,1454,923,917,1087,597,2655
SLC4A4,0,2,0,1,0,3,9,18
GC,0,0,0,0,0,0,0,0
NPFFR2,0,1,0,0,0,0,0,0
ADAMTS3,0,2,0,0,10,0,0,0
COX18,19,64,68,35,30,31,12,100
ANKRD17,1540,1999,2488,1547,1465,1488,859,5175
ALB,12,2,0,0,14,0,0,2
RASSF6,5,12,7,0,36,26,27,197
CXCL8,13640,10205,14515,11781,6599,5725,6417,11344
CXCL6,2,6,2,0,0,8,2,0
CXCL1,18,11,0,20,26,33,83,128
PF4,5,0,0,11,0,0,3,0
PPBP,0,0,0,0,0,2,0,0
CXCL5,18,18,0,6,21,17,0,117
CXCL3,195,180,130,121,111,79,147,213
CXCL2,1032,881,862,801,499,418,602,929
MTHFD2L,106,166,147,89,76,41,28,274
EPGN,0,0,2,0,8,0,0,13
EREG,4097,3180,6370,2941,1375,1314,1127,2853
AREG,16249,33771,28764,15391,14856,8504,10085,46678
BTC,0,0,0,0,0,0,0,0
PARM1,243,157,408,237,140,39,30,274
RCHY1,209,275,280,175,153,132,81,522
THAP6,109,138,161,85,66,72,29,228
CDKL2,7,0,0,0,0,0,2,0
G3BP2,2115,2708,2803,1767,3428,2827,2269,10316
USO1,1095,1049,1520,933,989,1169,619,2798
PPEF2,10,7,8,9,5,7,3,8
NAAA,408,424,427,339,248,148,139,589
SDAD1,292,529,529,342,424,331,227,1004
CXCL9,321,179,250,524,706,713,618,1463
ART3,0,0,0,0,7,4,1,8
CXCL10,61,24,37,43,48,53,70,142
CXCL11,12,11,16,0,48,20,26,106
NUP54,267,343,335,197,304,233,212,958
SCARB2,519,780,710,329,377,666,236,1045
FAM47E,0,0,1,5,3,0,1,0
FAM47E-STBD1,20,34,8,16,8,4,11,19
STBD1,18,33,16,6,12,4,12,35
CCDC158,0,0,0,0,0,0,0,0
SHROOM3,3,0,0,1,5,11,0,15
SOWAHB,0,0,0,0,0,0,0,0
CCNI,1025,1398,1483,981,1615,936,782,3154
CCNG2,340,409,375,307,1966,818,676,2820
CXCL13,0,0,0,0,3,10,5,5
CNOT6L,452,564,731,384,487,467,198,1504
MRPL1,64,58,91,73,53,43,24,80
FRAS1,2,0,0,2,4,1,0,28
ANXA3,15,8,3,18,573,423,139,477
BMP2K,819,410,991,798,3688,4313,1589,6142
PAQR3,413,172,468,334,1387,1967,690,2620
ANTXR2,1367,1237,1653,1245,2987,4136,1877,7994
PRDM8,173,209,131,179,173,209,235,393
FGF5,4,0,0,0,8,0,0,0
PRKG2,0,0,2,0,0,2,0,0
